Subject_ID,CHILDgender
sub-0015,1
sub-0085,0
sub-0134,1
sub-0152,0
sub-0260,1
sub-0307,0
sub-0334,1
sub-0517,0
sub-0526,1
sub-0550,1
sub-0575,0
sub-0613,1
sub-0616,0
sub-0718,1
sub-0755,0
sub-0788,0
sub-0856,1
sub-1110,1
sub-1127,1
sub-1264,0
sub-1274,1
sub-1348,1
sub-1403,1
sub-1490,1
sub-1596,1
sub-1714,1
sub-1745,1
sub-1764,1
sub-1908,1
sub-1938,0
sub-2004,1
sub-2093,0
sub-2105,0
sub-2159,1
sub-2263,0
sub-2306,0
sub-2348,0
sub-2442,1
sub-2498,1
sub-2523,1
sub-2564,1
sub-2582,1
sub-2583,1
sub-2616,1
sub-2654,1
sub-2675,0
sub-2704,1
sub-2819,1
sub-3000,0
sub-4042,0
sub-4081,0
sub-4264,1
sub-4267,1
sub-4278,1
sub-4312,1
sub-4332,1
sub-4350,0
sub-4359,0
sub-4457,1
sub-4493,1
sub-4545,0
sub-4576,1
sub-4656,0
sub-4789,0
sub-4873,0
sub-4906,0
sub-4925,1
sub-4970,1
sub-4987,0
sub-5051,0
sub-5117,1
sub-5270,1
sub-5363,1
sub-5506,1
sub-5519,1
sub-5532,1
sub-5579,1
sub-5588,1
sub-5606,1
sub-5856,0
sub-5927,1
sub-5932,0
sub-5946,1
sub-5965,1
sub-6015,1
sub-6026,1
sub-6039,0
sub-6047,1
sub-6102,0
sub-6207,1
sub-6240,1
sub-6294,0
sub-6298,0
sub-6315,0
sub-6392,0
sub-6461,1
sub-6481,1
sub-6515,1
sub-6618,1
sub-6634,1
sub-6641,1
sub-6657,0
sub-6700,1
sub-6751,0
sub-6761,1
sub-6781,0
sub-6812,1
sub-6820,1
sub-6845,1
sub-6909,1
sub-6911,1
sub-6919,0
sub-6989,1
sub-7019,1
sub-7020,0
sub-7031,0
sub-7130,1
