,rw,gb,ms,fa,rs,total
zfALFF_17Networks_RH_ContA_PFCl_2,NA,NA,NA,NA,0.01059858,NA
zfALFF_17Networks_RH_ContA_PFCl_1,NA,NA,NA,NA,0.004868794,0.033928041
zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,NA,NA,NA,NA,0.003944425,0.023167043
zfALFF_17Networks_RH_SalVentAttnA_FrMed_1,NA,NA,NA,NA,0.011267771,NA
zfALFF_17Networks_RH_DorsAttnB_PostC_1,NA,NA,NA,0.035298607,0.007690635,0.006585966
zfALFF_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,0.029143086,NA
zfALFF_17Networks_RH_SomMotB_S2_2,NA,NA,NA,NA,0.024109913,NA
zfALFF_17Networks_RH_SomMotA_1,NA,NA,NA,NA,NA,0.035631613
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,NA,0.003319628,0.012993549,0.000363106
zALFF_17Networks_RH_TempPar_2,NA,NA,NA,NA,0.002164492,0.042667314
zALFF_17Networks_RH_ContA_PFCl_2,NA,NA,NA,NA,0.036896941,NA
zALFF_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,0.012201593,NA
zfALFF_rHipp_L,NA,NA,NA,NA,0.019788682,0.006770871
zfALFF_mAmyg_L,NA,NA,NA,NA,NA,0.012655278
