,parcel_name,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,fALFF_sws_total_fdr,sws_total
17Networks_4,fALFF_17Networks_4,,,,,,0.032267921506867,0.032267921506867
17Networks_3,fALFF_17Networks_3,,,,,,0.048553968933562,0.048553968933562
17Networks_2,fALFF_17Networks_2,,,,,,0.048553968933562,0.048553968933562
17Networks_RH_TempPar_2,zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2,0.006248090098825,0.0,0.0,0.039659445658202,0.039597983485946,0.0,0.085505519242973
17Networks_RH_DefaultC_PHC_1,zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1,0.0,0.0,0.0,0.044047746906159,0.048553968933562,0.0,0.092601715839721
17Networks_RH_SalVentAttnA_ParMed_1,zDCwei_17Networks_RH_SalVentAttnA_ParMed_1zDCbin_17Networks_RH_SalVentAttnA_ParMed_1,0.0,0.0,0.0,0.032267921506867,0.03513897097848,0.0,0.067406892485347
17Networks_RH_SomMotB_S2_1,zDCwei_17Networks_RH_SomMotB_S2_1zDCbin_17Networks_RH_SomMotB_S2_1zfALFF_17Networks_RH_SomMotB_S2_1zALFF_17Networks_RH_SomMotB_S2_1,0.029384230379212,0.039690552501674,0.0,0.030415549987621,0.032354885656298,0.0,0.131845218524805
17Networks_LH_SalVentAttnA_ParMed_1,zDCwei_17Networks_LH_SalVentAttnA_ParMed_1zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,0.0,0.0,0.0,0.029384230379212,0.029384230379212,0.0,0.058768460758424
17Networks_RH_DefaultA_PFCm_1,zReHo_17Networks_RH_DefaultA_PFCm_1,,,0.048553968933562,,,,0.048553968933562
17Networks_RH_DorsAttnB_PostC_1,zReHo_17Networks_RH_DorsAttnB_PostC_1zfALFF_17Networks_RH_DorsAttnB_PostC_1,0.0,0.002771612725757,0.03513897097848,0.0,0.0,0.0,0.037910583704237
17Networks_LH_ContC_pCun_1,zReHo_17Networks_LH_ContC_pCun_1zfALFF_17Networks_LH_ContC_pCun_1,0.0,0.034850681531626,0.04548868922342,0.0,0.0,0.0,0.08033937075504599
17Networks_LH_SalVentAttnA_Ins_1,zReHo_17Networks_LH_SalVentAttnA_Ins_1zfALFF_17Networks_LH_SalVentAttnA_Ins_1,0.0,0.000764636656442,0.048553968933562,0.0,0.0,0.0,0.049318605590004
17Networks_RH_DefaultA_PFCd_1,zfALFF_17Networks_RH_DefaultA_PFCd_1,,0.029384230379212,,,,,0.029384230379212
17Networks_RH_ContB_PFCld_1,zfALFF_17Networks_RH_ContB_PFCld_1,,0.029384230379212,,,,,0.029384230379212
17Networks_RH_ContB_Temp_1,zfALFF_17Networks_RH_ContB_Temp_1,,0.032267921506867,,,,,0.032267921506867
17Networks_RH_ContA_PFCl_2,zfALFF_17Networks_RH_ContA_PFCl_2zALFF_17Networks_RH_ContA_PFCl_2,0.032354885656298,0.013017007921583,0.0,0.0,0.0,0.0,0.045371893577881
17Networks_RH_ContA_PFCl_1,zfALFF_17Networks_RH_ContA_PFCl_1,,0.0056528312443,,,,,0.0056528312443
17Networks_RH_ContA_IPS_1,zfALFF_17Networks_RH_ContA_IPS_1,,0.019051495659873,,,,,0.019051495659873
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,0.006248090098825,,,,,0.006248090098825
