,sws_rw,sws_gb,sws_ms,sws_fa,sws_rs,sws_total
zfALFF_17Networks_RH_ContA_PFCl_2,NA,NA,NA,NA,0.010598580141862,NA
zfALFF_17Networks_RH_ContA_PFCl_1,NA,NA,NA,NA,0.004868794054417,0.033928040815856
zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,NA,NA,NA,NA,0.003944425313455,0.023167043416934
zfALFF_17Networks_RH_SalVentAttnA_FrMed_1,NA,NA,NA,NA,0.011267770567545,NA
zfALFF_17Networks_RH_DorsAttnB_PostC_1,NA,NA,NA,0.035298607456282,0.007690634742851,0.006585965858706
zfALFF_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,0.02914308566288,NA
zfALFF_17Networks_RH_SomMotB_S2_2,NA,NA,NA,NA,0.024109913072366,NA
zfALFF_17Networks_RH_SomMotA_1,NA,NA,NA,NA,NA,0.035631613164834
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,NA,0.003319628110004,0.012993549104102,0.000363105514624
zALFF_17Networks_RH_TempPar_2,NA,NA,NA,NA,0.002164492389985,0.042667313838548
zALFF_17Networks_RH_ContA_PFCl_2,NA,NA,NA,NA,0.036896941159618,NA
zALFF_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,0.012201592545463,NA
zfALFF_rHipp_L,NA,NA,NA,NA,0.019788682243533,0.006770870560271
zfALFF_mAmyg_L,NA,NA,NA,NA,NA,0.012655277686212
