,feature,LD1
126,fALFF_cortex_RH_SalVentAttnB_PFCl_2,-0.0028336130942127
38,fALFF_cortex_LH_LimbicA_TempPole_7,-0.0057542233892768
85,fALFF_cortex_RH_DefaultA_PFCd_1,-0.0133331758734661
79,fALFF_cortex_RH_ContB_PFCmp_1,0.0202423424642132
65,fALFF_cortex_RH_ContA_IPS_3,-0.0234665030996541
139,gmv_cortex_RH_SomMotA_4,0.029659857122668
162,gmv_cortex_RH_VisPeri_ExStrSup_3,0.0308013386019676
146,fALFF_cortex_RH_SomMotA_9,-0.032587386045561
72,fALFF_cortex_RH_ContA_PFCl_5,-0.0334284610976971
154,fALFF_cortex_RH_SomMotB_S2_5,0.0406024279313828
56,fALFF_cortex_LH_SomMotB_Aud_3,-0.047828667243208
155,fALFF_cortex_RH_SomMotB_S2_6,-0.0820754024432359
78,fALFF_cortex_RH_ContB_PFClv_4,-0.0904150573769594
67,fALFF_cortex_RH_ContA_PFCd_1,-0.114953993146779
77,fALFF_cortex_RH_ContB_PFCld_3,0.126630959910538
53,ReHo_cortex_LH_SomMotA_8,-0.132795647174321
3,fALFF_cerebellum_2,0.133314854437716
9,fALFF_cortex_LH_ContA_PFCl_3,-0.141249756981653
87,fALFF_cortex_RH_DefaultA_PFCm_4,0.147903120951858
90,fALFF_cortex_RH_DefaultB_PFCd_3,0.152736570207464
130,fALFF_cortex_RH_SalVentAttnB_PFCmp_2,-0.156166758233049
94,fALFF_cortex_RH_DorsAttnA_SPL_5,0.164614232082977
74,fALFF_cortex_RH_ContB_IPL_1,0.165442409413364
159,ReHo_cortex_RH_VisCent_ExStr_6,-0.169087017057973
36,fALFF_cortex_LH_LimbicA_TempPole_5,-0.187742004515998
116,ReHo_cortex_RH_SalVentAttnA_Ins_3,-0.192085120890415
88,ReHo_cortex_RH_DefaultA_PFCm_5,0.220784591544637
174,DC_lPFtha_L,-0.227730700682754
153,DC_cortex_RH_SomMotB_S2_3,-0.234147107047729
173,fALFF_lPFtha_L,-0.244471780809938
4,fALFF_cerebellum_9,-0.249024834190469
185,fALFF_rTtha_R,0.252438472499927
89,gmv_cortex_RH_DefaultB_PFCd_2,-0.256816422009853
176,fALFF_mAmyg_L,0.265920250144852
58,fALFF_cortex_LH_SomMotB_Cent_3,0.271565053231534
