parc_name,gmd_sws_total_r,gmd_sws_total_p,gmd_sws_total_fdr,fALFF_sws_total_r,fALFF_sws_total_p,fALFF_sws_total_fdr,fALFF_sws_total_bonferroni,ALFF_sws_total_r,ALFF_sws_total_p,ALFF_sws_total_fdr,Dcwei_sws_total_r,Dcwei_sws_total_p,Dcwei_sws_total_fdr,ReHo_sws_total_r,ReHo_sws_total_p,ReHo_sws_total_fdr,sws_total
17Networks_17,0.033909297481804,0.23112770806656,,0.067268222470055,0.735712448124332,,,,0.115192712597133,,-0.005426199185232,0.688717767441979,,0.00144411540362,0.330872790444334,,0.097195436170247
17Networks_16,-0.092583855602903,0.323083311759709,,0.029139207684444,0.614561462246972,,,,0.274130052042997,,-0.040846164577783,0.522871723588441,,0.050138719657509,0.796419971413015,,-0.054152092838733
17Networks_15,-0.072050507774911,0.521962285847671,,0.072161648089593,0.105121475840751,,,,0.42628920294105,,-0.001432179971861,0.192753883214913,,0.101293196865858,0.038885740892488,0.044540428762109,0.099972157208679
17Networks_14,-0.015831396004142,0.666003194258502,,0.094398401906705,0.855993637324184,,,,0.65082571871613,,-0.016478078538303,0.549601364930093,,0.050326371505004,0.595503687760262,,0.112415298869264
17Networks_13,-0.054018150618178,0.360521358561534,,0.073949746816241,0.694378037174453,,,,0.903114086648848,,0.000465184451822,0.823361989403748,,0.033435767396658,0.591608709249471,,0.053832548046543
17Networks_12,-0.0274427856543,0.757080465719908,,0.104250942927002,0.677163434619578,,,,0.198209251779513,,0.018393629029436,0.667677802932012,,0.009639884362418,0.468106478463424,,0.104841670664556
17Networks_11,-0.020506110473178,0.649129527374939,,0.112415938773883,0.07996187631133,,,,0.571871957662215,,0.024667030554004,0.058927948426996,,0.094276623096186,0.069618345569106,,0.210853481950895
17Networks_10,-0.049198827414386,0.577229449692109,,0.150428224388061,0.480544637138691,,,,0.582847916201873,,0.023845630731712,0.824920056642567,,0.085729440002929,0.462627265384528,,0.210804467708316
17Networks_9,-0.070913166020503,0.874711675229719,,0.120258929254959,0.036624224903133,0.04447808578329,,,0.482035687505031,,0.094811376867452,0.038468330575576,0.044540428762109,0.108896273449092,0.083035183792197,,0.253053413551
17Networks_8,-0.10114989834934,0.868761347085412,,0.081673369611348,0.135098598568634,,,,0.498216807455384,,0.049959582654852,0.737367800542303,,0.054400948740211,0.303514522997134,,0.084884002657071
17Networks_7,-0.080344744410279,0.708255089420955,,0.165939594572721,0.444543237050854,,,,0.588596353601239,,0.088133850989967,0.501789226896151,,0.086796227888842,0.345795314023941,,0.260524929041251
