,features,LD1
0,gmv-cortex-LH-LimbicB-OFC-1,8.26445611581062
1,gmv-cortex-RH-VisCent-ExStr-8,6.3167781287337
2,DC-cortex-LH-DorsAttnB-PostC-1,4.47286433211187
3,DC-cortex-LH-SalVentAttnA-FrMed-1,-4.05240091919471
4,gmv-cortex-RH-SomMotA-10,3.99222220519326
5,gmv-subcortex-lPFtha-R,3.83739932854325
6,gmv-cortex-LH-DorsAttnB-PostC-6,-3.24964351741844
7,fALFF-subcortex-cTtha-L,3.21025038526748
8,DC-cortex-RH-SalVentAttnA-ParOper-1,2.96103491818487
9,fALFF-cortex-LH-SomMotB-Aud-4,2.72518183926452
10,fALFF-cortex-LH-SomMotB-S2-2,2.45604471398164
11,fALFF-cortex-RH-SalVentAttnA-FrMed-2,2.4407286368109
12,DC-cortex-LH-SalVentAttnA-ParOper-1,-2.3938013193782
13,fALFF-cortex-LH-DorsAttnB-PostC-5,-2.29391047636242
14,DC-cortex-RH-SalVentAttnA-ParMed-4,-2.26809548146915
15,fALFF-cortex-RH-SomMotB-S2-1,-2.25378312937388
16,gmv-cortex-RH-SomMotA-7,-2.18297585817718
17,fALFF-cortex-RH-SalVentAttnB-PFCmp-1,2.16039912353828
18,DC-cortex-LH-DefaultB-Temp-5,-1.98598789335336
19,DC-cerebellum-17Networks-9,1.96509875902244
20,fALFF-cortex-RH-DorsAttnB-FEF-3,-1.9391420505406
21,fALFF-subcortex-mAmyg-R,-1.92869356270618
22,fALFF-cortex-LH-DefaultB-Temp-1,1.89139400236206
23,fALFF-cortex-RH-SalVentAttnA-FrMed-3,1.8552314592517
24,fALFF-cortex-LH-DorsAttnA-SPL-3,1.82263316118098
25,DC-cortex-LH-DefaultC-PHC-3,1.77220209130393
26,fALFF-subcortex-rTtha-L,-1.76914832179635
27,fALFF-cortex-RH-SalVentAttnB-PFClv-1,-1.65543543162009
28,fALFF-cortex-LH-DorsAttnB-PostC-2,-1.58462420561171
29,DC-cortex-RH-TempPar-4,-1.49804154708449
30,fALFF-cortex-RH-SomMotA-3,1.46740685570088
31,fALFF-subcortex-rHipp-L,1.41792111941604
32,fALFF-cortex-RH-SalVentAttnB-PFCl-1,-1.36222629729887
33,fALFF-cortex-LH-SomMotB-Aud-1,1.35406201292576
34,fALFF-cortex-RH-DorsAttnB-PostC-2,-1.34245334716127
35,gmv-cortex-RH-SomMotA-11,1.34095250989658
36,fALFF-cortex-RH-SalVentAttnA-ParOper-3,1.33123325839348
37,fALFF-cortex-LH-SomMotA-1,-1.32559131157069
38,fALFF-cortex-LH-SalVentAttnA-FrMed-2,1.32454729259657
39,fALFF-subcortex-cHipp-L,-1.31501374456815
40,fALFF-cortex-LH-ContA-IPS-1,1.31252511044695
41,fALFF-cortex-LH-DefaultA-PFCd-1,1.30790692744816
42,fALFF-cortex-RH-SomMotB-Cent-3,1.27057665662629
43,DC-cortex-LH-SalVentAttnA-ParMed-1,1.259467935119
44,fALFF-cortex-RH-ContA-Cingm-1,-1.24812921836335
45,fALFF-cortex-LH-ContB-PFClv-2,1.23128664902948
46,fALFF-cortex-RH-ContA-IPS-2,1.22781828062928
47,fALFF-subcortex-Stha-R,-1.18931414245121
48,gmv-cortex-LH-SomMotA-11,1.17028854575732
49,fALFF-cortex-LH-LimbicA-TempPole-2,1.14239366618969
50,fALFF-cortex-RH-SomMotB-Cent-1,-1.1365226142831
51,fALFF-cortex-LH-SalVentAttnB-PFCl-1,-1.10825626935265
52,DC-cortex-RH-SomMotA-6,1.10079577572047
53,fALFF-cortex-RH-DorsAttnA-TempOcc-3,1.1006865060982
54,fALFF-cortex-RH-DorsAttnA-SPL-4,-1.08048728710039
55,fALFF-cortex-LH-VisCent-Striate-1,-1.0378459814581
56,fALFF-subcortex-Stha-L,1.03392389689802
57,fALFF-cortex-RH-DorsAttnB-PostC-5,1.01230077226883
