region,sws_total
zfALFF_17Networks_9,0.193461757866734
zfALFF_17Networks_2,0.182354887856762
zfALFF_lPFtha_L,0.192589864705603
zfALFF_cTtha_L,0.182096776868227
zfALFF_Otha_L,0.204450069512267
zfALFF_rTtha_R,0.22008617516963
zfALFF_rTtha_L,0.201739179210043
zfALFF_Stha_R,0.233827979315631
zfALFF_Stha_L,0.213936432955391
zfALFF_mPMtha_L,0.228716002983221
zfALFF_mPFtha_L,0.182613800359719
zfALFF_cHipp_L,0.295343304669028
zfALFF_rHipp_R,0.228779381177027
zfALFF_rHipp_L,0.351151278923888
zfALFF_lAmyg_R,0.238940868879882
zfALFF_lAmyg_L,0.224450540633938
zfALFF_mAmyg_R,0.297219652322278
zfALFF_mAmyg_L,0.34384283517602
zfALFF_17Networks_RH_DefaultB_PFCd_3,-0.24492498805474
zfALFF_17Networks_RH_DefaultB_Temp_1,-0.194070573345395
zfALFF_17Networks_RH_DefaultA_PFCm_4,-0.243235987374655
zfALFF_17Networks_RH_DefaultA_PFCd_2,-0.208223594812147
zfALFF_17Networks_RH_DefaultA_PFCd_1,-0.299031625033686
zfALFF_17Networks_RH_DefaultA_IPL_1,-0.224255833493966
zfALFF_17Networks_RH_ContC_pCun_4,-0.200099430211639
zfALFF_17Networks_RH_ContC_pCun_2,-0.193711189796819
zfALFF_17Networks_RH_ContB_PFCmp_1,-0.251397972740542
zfALFF_17Networks_RH_ContB_PFClv_4,-0.251877174402256
zfALFF_17Networks_RH_ContB_PFCld_3,-0.222025914018639
zfALFF_17Networks_RH_ContB_PFCld_1,-0.24529484505087
zfALFF_17Networks_RH_ContB_IPL_3,-0.188221749573756
zfALFF_17Networks_RH_ContB_IPL_1,-0.24101315417067
zfALFF_17Networks_RH_ContB_Temp_2,-0.24332434753285
zfALFF_17Networks_RH_ContA_Cingm_1,-0.206785144097359
zfALFF_17Networks_RH_ContA_PFCl_5,-0.270774472349744
zfALFF_17Networks_RH_ContA_PFCl_4,-0.317419445517419
zfALFF_17Networks_RH_ContA_PFCl_3,-0.28077651714424
zfALFF_17Networks_RH_ContA_PFCl_2,-0.255655152235847
zfALFF_17Networks_RH_ContA_PFCl_1,-0.322845267246897
zfALFF_17Networks_RH_ContA_PFCd_1,-0.212981694182488
