parcel_name,sws_rw,sws_rs,sws_gb,sws_ms,sws_fa,sws_total
zfALFF_17Networks_RH_ContA_PFCl_2,NA,0.017886567067016,NA,NA,NA,NA
zfALFF_17Networks_RH_ContA_PFCl_1,NA,0.003842972823335,NA,NA,NA,0.033916987465799
zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,NA,0.010990702039815,NA,NA,NA,0.049984720790602
zfALFF_17Networks_RH_SalVentAttnA_FrMed_1,NA,0.024730056343131,NA,NA,NA,NA
zfALFF_17Networks_RH_DorsAttnB_FEF_1,NA,0.032442145248933,NA,NA,NA,NA
zfALFF_17Networks_RH_DorsAttnB_PostC_1,NA,0.005697083920199,NA,NA,0.02719922063279,0.005543225451514
zfALFF_17Networks_RH_SomMotB_Cent_1,NA,0.019393193958282,NA,NA,NA,NA
zfALFF_17Networks_RH_SomMotB_S2_2,NA,0.027513431271052,NA,NA,NA,NA
zfALFF_17Networks_RH_SomMotA_1,NA,NA,NA,NA,NA,0.022228317465504
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,NA,0.010367878648959,NA,NA,0.009165177808506,0.000764636656442
zALFF_17Networks_RH_TempPar_2,NA,0.001825023968429,NA,NA,NA,0.045894981883225
zALFF_17Networks_RH_SomMotB_S2_1,NA,0.018342325109193,NA,NA,NA,NA
zfALFF_cHipp_L,NA,0.039860198477428,NA,NA,NA,NA
zfALFF_rHipp_L,NA,0.018776460399322,NA,NA,NA,0.01192273869186
zfALFF_mAmyg_L,NA,NA,NA,NA,NA,0.014178475216973
