parcel_name,sws_rs,sws_gb,sws_ms,sws_fa,sws_rw,sws_total
zALFF_17Networks_1,NA,NA,NA,0.000748216585163,NA,NA
zReHo_17Networks_LH_SomMotA_5,NA,NA,0.032758954603058,NA,NA,NA
zfALFF_rHipp_L,0.048209663552471,NA,NA,NA,NA,0.026328745336531
zfALFF_mAmyg_L,NA,NA,NA,NA,NA,0.037395052228372
zfALFF_17Networks_RH_ContA_PFCl_4,0.049117367061804,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_ContA_PFCl_1,0.021599022918062,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,0.036656546502614,NA,NA,NA,NA,0.038682282674023
zfALFF_17Networks_RH_SalVentAttnB_PFClv_1,0.043977099915097,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_SomMotB_S2_6,0.003193584685629,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_SomMotB_S2_1,0.00482433478494,NA,NA,NA,NA,NA
zfALFF_17Networks_RH_SomMotA_1,NA,NA,NA,0.034375659500993,NA,0.035766573767549
zfALFF_17Networks_LH_LimbicA_TempPole_6,NA,NA,NA,0.034940594083608,NA,0.004866913971969
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,0.010949052948419,NA,NA,NA,NA,0.010132330620107
zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,NA,NA,NA,NA,0.039959809477977,NA
zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,NA,NA,NA,NA,0.022795809886128,NA
