parcel_name,sws_rs,sws_gb,sws_ms,sws_fa,sws_rw,sws_total
gmd_17Networks_17,NA,NA,NA,NA,0.04886359020199,NA
gmd_17Networks_1,NA,NA,NA,NA,0.042370283770385,NA
zReHo_17Networks_15,0.01752400297832,NA,NA,NA,0.041528184780944,0.044540428762109
zReHo_17Networks_11,0.016879792296413,NA,NA,NA,0.04886359020199,NA
zReHo_17Networks_9,0.024345739320034,NA,NA,NA,0.041528184780944,NA
zReHo_17Networks_7,0.03974501423636,NA,NA,NA,NA,NA
zReHo_17Networks_5,0.043626187260898,NA,NA,NA,NA,NA
zReHo_17Networks_2,0.023079353970657,NA,NA,NA,NA,NA
zfALFF_17Networks_15,NA,NA,NA,NA,0.043513898027707,NA
zfALFF_17Networks_11,0.029929561754879,NA,NA,NA,NA,NA
zfALFF_17Networks_9,0.024831920987231,NA,NA,NA,0.041528184780944,0.04447808578329
zfALFF_17Networks_8,0.048707177961764,NA,NA,NA,NA,NA
zfALFF_17Networks_5,0.03960872394604,NA,NA,NA,0.04886359020199,NA
zfALFF_17Networks_2,0.033329861043242,NA,NA,NA,NA,0.04961052048189
zDCwei_17Networks_11,0.024345739320034,NA,NA,NA,NA,NA
zDCwei_17Networks_9,0.026202266369916,NA,NA,NA,0.037709810484066,0.044540428762109
zDCwei_17Networks_5,0.049274538265003,NA,NA,NA,NA,NA
zDCwei_17Networks_1,NA,NA,0.049179098733603,NA,NA,NA
zDCbin_17Networks_11,0.028364375431148,NA,NA,NA,NA,NA
zDCbin_17Networks_9,0.034696386799194,NA,NA,NA,0.035375515465177,0.048666690964411
zDCbin_17Networks_1,NA,NA,0.049179098733603,NA,NA,NA
zALFF_17Networks_17,NA,NA,NA,NA,0.041528184780944,NA
zALFF_17Networks_6,NA,NA,NA,0.045724255434477,NA,NA
zALFF_17Networks_5,NA,NA,NA,0.036453782727283,NA,NA
zALFF_17Networks_4,NA,NA,NA,0.041913907181599,NA,NA
zALFF_17Networks_3,NA,NA,NA,0.047006516716513,NA,NA
zALFF_17Networks_2,NA,NA,NA,0.01658421035834,NA,0.041309255498928
zALFF_17Networks_1,0.008404457243249,NA,NA,0.000748216585163,NA,0.009778574333817
zReHo_lPFtha_L,0.024831920987231,NA,NA,NA,NA,NA
zReHo_Otha_L,0.040996408167613,NA,NA,NA,NA,NA
zReHo_Stha_R,0.033718800311398,NA,NA,NA,NA,NA
zReHo_Stha_L,0.029929561754879,NA,NA,NA,NA,NA
zReHo_mPMtha_R,0.028484448419602,NA,NA,NA,NA,NA
zReHo_mPMtha_L,0.03014669746383,NA,NA,NA,NA,NA
zReHo_mPFtha_R,0.048908673805351,NA,NA,NA,NA,NA
zReHo_mPFtha_L,0.026486006723466,NA,NA,NA,NA,NA
zReHo_dCa_R,NA,NA,0.049179098733603,NA,NA,NA
zReHo_dCa_L,NA,NA,0.049179098733603,NA,NA,NA
zReHo_cHipp_L,0.015503357870653,NA,NA,0.047006516716513,NA,0.039714234785231
zReHo_mAmyg_L,0.032276689891745,NA,NA,0.045724255434477,NA,0.033089177551158
zReHo_17Networks_RH_TempPar_9,NA,NA,NA,NA,0.046118508682166,NA
zReHo_17Networks_RH_TempPar_7,NA,NA,0.049179098733603,NA,0.047862474271207,NA
zReHo_17Networks_RH_DefaultB_PFCv_3,NA,NA,NA,NA,0.048911445428911,NA
zReHo_17Networks_RH_DefaultB_PFCv_2,NA,NA,NA,NA,0.035375515465177,NA
zReHo_17Networks_RH_DefaultA_PFCm_6,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_RH_DefaultA_PFCm_5,0.04909903218292,NA,NA,NA,NA,0.04447808578329
zReHo_17Networks_RH_DefaultA_pCunPCC_3,NA,0.049185718715145,NA,NA,NA,NA
zReHo_17Networks_RH_DefaultA_IPL_2,NA,0.04797148140474,NA,0.036453782727283,NA,0.039524775840535
zReHo_17Networks_RH_DefaultA_IPL_1,NA,0.04797148140474,NA,NA,0.041528184780944,NA
zReHo_17Networks_RH_ContA_Cingm_1,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_RH_ContA_PFCl_5,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_RH_LimbicB_OFC_5,NA,0.04797148140474,NA,NA,NA,NA
zReHo_17Networks_RH_LimbicB_OFC_3,NA,0.04797148140474,0.049179098733603,NA,NA,NA
zReHo_17Networks_RH_LimbicB_OFC_2,NA,0.04797148140474,NA,NA,NA,NA
zReHo_17Networks_RH_SalVentAttnA_FrOper_2,NA,0.048787092967062,0.049179098733603,NA,NA,0.039987965805697
zReHo_17Networks_RH_SalVentAttnA_Ins_3,NA,NA,0.049179098733603,NA,NA,0.04447808578329
zReHo_17Networks_RH_DorsAttnB_FEF_3,NA,NA,0.049179098733603,NA,NA,0.043235049428021
zReHo_17Networks_RH_DorsAttnA_TempOcc_3,NA,0.04797148140474,NA,0.016999704441033,NA,0.031176501588136
zReHo_17Networks_RH_SomMotB_Cent_3,NA,0.04797148140474,NA,NA,NA,NA
zReHo_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,0.047862474271207,NA
zReHo_17Networks_RH_SomMotB_S2_3,0.048854363747499,NA,NA,NA,NA,NA
zReHo_17Networks_RH_SomMotB_S2_2,NA,NA,NA,0.048326171502656,NA,NA
zReHo_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,NA,0.04447808578329
zReHo_17Networks_RH_SomMotA_17,0.034331509351,NA,0.049179098733603,NA,NA,0.04447808578329
zReHo_17Networks_RH_SomMotA_14,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_RH_SomMotA_9,0.026411208720006,NA,0.049179098733603,NA,NA,0.0292415330267
zReHo_17Networks_RH_VisCent_Striate_1,NA,NA,NA,0.047006516716513,0.041528184780944,NA
zReHo_17Networks_RH_VisCent_ExStr_6,NA,NA,0.049179098733603,0.036469555507003,NA,0.040176966219139
zReHo_17Networks_LH_TempPar_1,0.045124114568169,NA,NA,NA,NA,NA
zReHo_17Networks_LH_DefaultC_Rsp_2,NA,NA,NA,NA,0.041528184780944,NA
zReHo_17Networks_LH_DefaultB_Temp_5,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_LH_DefaultA_pCunPCC_7,NA,NA,NA,NA,0.042548694426563,NA
zReHo_17Networks_LH_ContC_pCun_3,NA,NA,NA,NA,0.046118508682166,NA
zReHo_17Networks_LH_ContB_IPL_2,NA,NA,NA,NA,0.040773649251682,NA
zReHo_17Networks_LH_ContA_PFCl_3,NA,NA,NA,NA,0.046118508682166,NA
zReHo_17Networks_LH_ContA_PFCl_2,NA,NA,NA,NA,0.041528184780944,NA
zReHo_17Networks_LH_ContA_PFCl_1,NA,NA,NA,NA,0.041528184780944,NA
zReHo_17Networks_LH_ContA_PFClv_2,NA,NA,NA,NA,0.028404608994718,NA
zReHo_17Networks_LH_ContA_IPS_4,NA,NA,NA,NA,0.041528184780944,NA
zReHo_17Networks_LH_ContA_IPS_2,0.029929561754879,NA,NA,NA,NA,0.041309255498928
zReHo_17Networks_LH_LimbicA_TempPole_1,NA,NA,NA,NA,0.040780364262725,NA
zReHo_17Networks_LH_LimbicB_OFC_3,NA,0.04797148140474,NA,NA,NA,NA
zReHo_17Networks_LH_DorsAttnB_PostC_9,NA,0.04797148140474,NA,NA,NA,NA
zReHo_17Networks_LH_DorsAttnA_SPL_6,NA,NA,0.049179098733603,NA,NA,NA
zReHo_17Networks_LH_SomMotB_Aud_1,NA,0.04797148140474,NA,NA,0.046118508682166,NA
zReHo_17Networks_LH_SomMotA_15,0.048635115642327,NA,NA,NA,NA,NA
