,parcel_name,zALFF_sws_total_p,zDCbin_sws_total_p,zDCwei_sws_total_p,zfALFF_sws_total_p,zReHo_sws_total_p,gmd_sws_total_p,sws_total
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.115192712597133,0.744483796654898,0.688717767441979,0.735712448124332,0.330872790444334,0.23112770806656,2.8461072233292355
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.274130052042997,0.552571325689546,0.522871723588441,0.614561462246972,0.796419971413015,0.323083311759709,3.0836378467406798
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.42628920294105,0.199012934818243,0.192753883214913,0.105121475840751,0.038885740892488,0.521962285847671,1.484025523555116
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.65082571871613,0.650018761526966,0.549601364930093,0.855993637324184,0.595503687760262,0.666003194258502,3.9679463645161372
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.903114086648848,0.796748921607604,0.823361989403748,0.694378037174453,0.591608709249471,0.360521358561534,4.169733102645658
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.198209251779513,0.786555884069915,0.667677802932012,0.677163434619578,0.468106478463424,0.757080465719908,3.5547933175843496
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.571871957662215,0.070105059685494,0.058927948426996,0.07996187631133,0.069618345569106,0.649129527374939,1.4996147150300798
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.582847916201873,0.872714105195349,0.824920056642567,0.480544637138691,0.462627265384528,0.577229449692109,3.800883430255117
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.482035687505031,0.046272023632852,0.038468330575576,0.036624224903133,0.083035183792197,0.874711675229719,1.561147125638508
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.498216807455384,0.821305479494229,0.737367800542303,0.135098598568634,0.303514522997134,0.868761347085412,3.364264556143096
