,parcel_name,zALFF_sws_total_r,zDCbin_sws_total_r,zDCwei_sws_total_r,zfALFF_sws_total_r,zReHo_sws_total_r,gmd_sws_total_r,sws_total
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,-0.146420340062338,0.030451403969578,0.037423919729871,-0.031536095215228,-0.090682718661121,0.111556938763325,-0.08920689147591301
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,-0.101934257295412,0.055460307426068,0.059656505427105,0.047034555461096,0.024105894095549,0.092148543188686,0.17647154830309197
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,-0.074244882455781,0.11959732981296,0.121270999355447,0.150577941821031,0.191232955424475,0.059786852848187,0.568221196806319
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,-0.042279528000643,0.042384124253342,0.055874844427024,0.016958371578309,0.04958177892292,-0.040321802857408,0.08219778832354399
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,-0.011375570646863,0.02406608112853,0.020858676663267,0.036707400782754,0.050106827035348,0.085295332000793,0.205658746963829
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,-0.119810086145437,-0.025301792150928,-0.040106879922156,-0.038893382444232,-0.067728456742742,0.028900680692163,-0.26293991671333206
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,-0.052792045129873,0.168059689927927,0.175141437143503,0.162538321067065,0.16834820702581,-0.042499445920051,0.578796164114381
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,-0.05129356834119,0.014971515851461,0.020671684191877,0.065852935163577,0.068563268836436,-0.052058966866955,0.06670686883520602
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,-0.065629872269587,0.184639056335364,0.191635990685374,0.193461757866734,0.160928993636039,-0.014734612511719,0.6503013137422049
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,-0.06323243653313,0.021105616488021,0.031331072224933,0.138968396484286,0.09593463463687,0.015440577737177,0.239547861038157
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,-0.050513971425057,0.060684047694046,0.062708703193379,0.071358075891981,0.087934841027565,-0.034959626752171,0.197212069629743
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,-0.0916432082828,-0.013661226850189,-0.013721294646512,0.010923700862118,0.014134726919058,-0.028217785797152,-0.12218508779547699
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,-0.09383882576011,0.126371771470683,0.118010574482099,0.144147475168364,0.091460525137988,0.02676845772197,0.41291997822099397
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,-0.111104268021866,0.052653980834179,0.042594601357747,0.088149028959186,0.067847012839208,-0.085659002671661,0.054481353296793
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,-0.079668446708182,0.054985276686712,0.054329102639068,0.105954463433108,0.054524707389628,-0.052705058313579,0.13742004512675499
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,-0.203703560689445,0.015427380980759,0.033643338654473,0.182354887856762,0.142015942891096,-0.067418497790407,0.10231949190323802
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,-0.324525667731637,-0.131061998819691,-0.136494060926253,0.004603002092443,0.004508424463124,0.04005463143201,-0.5429156694900039
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.138332174335402,0.126005120024804,0.164954278639873,0.046901721647379,0.095001443123286,0.258298081750479,0.829492819521223
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.048695741053664,0.19803682514509,0.218698847867,0.192589864705603,0.152951567798265,0.02931491016586,0.840287756735482
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.170644382743404,0.078816739959105,0.087657702566336,0.079753784689988,-0.001827621002723,-0.153995684226578,0.261049304729532
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.160063472691787,0.135479243347111,0.149928224963031,0.182096776868227,0.089217168001464,0.125275229117147,0.842060114988767
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.162865544812464,0.123867105546109,0.129573441214926,0.143412848321242,0.06294338642707,-0.045465265273255,0.5771970610485561
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.082128014864019,0.111658046515011,0.119881936016464,0.204450069512267,0.175625216339619,0.00715035907085,0.7008936423182299
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.177635323503595,0.08913408857923,0.105558928796831,0.15762900304214,0.100291894998234,0.051493445567212,0.6817426844872421
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.115069151268121,0.110397036594933,0.117832573878752,0.168838229000754,0.103359885129722,-0.105489818803704,0.510007057068578
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.075864168540966,0.167694474786677,0.175323948631556,0.22008617516963,0.090246145851171,-0.054558404910703,0.674656508069297
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.077197905030442,0.073751728898072,0.074523694604934,0.201739179210043,0.101390650079532,-0.113150318866759,0.41545283895626406
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.153276830509972,0.1103300887055,0.136438695080741,0.233827979315631,0.153827894785103,-0.122805347243133,0.664896141153814
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.068995961636136,0.135140086539884,0.144988452654177,0.213936432955391,0.145646210836741,-0.15161160881809,0.557095535804239
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.095543171004242,0.144985583410322,0.16237968068034,0.128595299615339,0.160014673491533,0.020104146125562,0.711622554327338
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.123498271928408,0.217578670196014,0.224121393680991,0.228716002983221,0.137046981004499,0.01877156617691,0.9497328859700431
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.088147933105602,0.118538987212405,0.107008264227086,0.106810452425393,0.119914030949866,0.024587966940009,0.565007634860361
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.068000301576273,0.141336525634791,0.128477184743422,0.182613800359719,0.131240888338275,-0.050010237179924,0.601658463472556
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,-0.115126300221231,0.132840003218577,0.133465699403815,-0.153351796078657,-0.021157682283348,0.075652608215066,0.05232253225422201
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.045562857225488,0.164210658242634,0.203922829538993,0.054123923943083,0.082782558227382,-0.200972278133,0.34963054904458
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,-0.008949795025347,0.015505293923628,0.025612911539194,-0.154050515993811,-0.110276648098205,-0.129393016218877,-0.361551769873418
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.184521812625989,-0.03629888590832,-0.041695507676887,-0.120078541807361,-0.145721954594854,-0.122887506785595,-0.282160584147028
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,-0.075841291517576,0.053101332872653,0.062828876138418,-0.13767988859401,-0.076091411124831,-0.076081439969528,-0.24976382219487397
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,-0.02326906559386,0.070005026580262,0.074815183446966,-0.027199235802214,-0.035310268580028,-0.044358515996321,0.014683124054805013
NAC_R,zReHo_NAC_Rgmd_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,-0.018721111507275,-0.006845936120459,0.012641117722074,0.094978275411626,0.06668083782123,0.05262515260526,0.20135833593245597
NAC_L,zReHo_NAC_Lgmd_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,-0.010629140675715,0.044911721653536,0.043133979214685,0.148522437994699,0.071033024331496,-0.036982864084746,0.25998915843395504
GP_R,zReHo_GP_Rgmd_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,-0.055939960029596,0.045399881354647,0.057049919757197,0.066994237717271,0.024639209981156,0.019026172520101,0.157169461300776
GP_L,zReHo_GP_Lgmd_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.00591085785708,0.040726011940086,0.047417626745415,0.029849645369218,-0.000416794831295,-0.036181104489858,0.087306242590646
vCa_R,zReHo_vCa_Rgmd_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,-0.16474792404962,0.032623718270249,0.041446229254022,-0.103787242084529,0.001179122906976,-0.080668310671848,-0.27395440637475
vCa_L,zReHo_vCa_Lgmd_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.001860746496343,-0.023623764007164,0.007119441045195,-0.141840942435049,-0.076257826911271,-0.008843326062668,-0.24158567187461402
cHipp_R,zReHo_cHipp_Rgmd_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,-0.004856936930353,0.00226963304067,-0.016560533295715,0.008717552207837,0.007908375196975,0.074992350641519,0.07247044086093302
cHipp_L,zReHo_cHipp_Lgmd_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,-0.002890737468833,0.068969178831689,0.063511932079017,0.295343304669028,0.210774263367062,0.001966680177028,0.637674621654991
rHipp_R,zReHo_rHipp_Rgmd_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,-0.040530907079818,0.078010855319256,0.078601304531626,0.228779381177027,0.122328860534207,-0.098167397142869,0.36902209733942903
rHipp_L,zReHo_rHipp_Lgmd_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,-0.024872750612603,0.106113360908291,0.121165296828847,0.351151278923888,0.10472121552012,0.095624365833297,0.75390276740184
lAmyg_R,zReHo_lAmyg_Rgmd_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,-0.010918624808908,0.130834919068974,0.133728604915097,0.238940868879882,0.138390028544256,0.01756180213381,0.648537598733111
lAmyg_L,zReHo_lAmyg_Lgmd_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,-0.003113088195021,0.08500267504293,0.094518362257173,0.224450540633938,0.091308811807474,-0.115200754652118,0.376966546894376
mAmyg_R,zReHo_mAmyg_Rgmd_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,-0.03371090023381,0.125307171638234,0.138683196907977,0.297219652322278,0.107855701560857,0.042090480264934,0.67744530246047
mAmyg_L,zReHo_mAmyg_Lgmd_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,-0.092138152421792,0.090318316567782,0.085588698049396,0.34384283517602,0.228672265938002,-0.094211794794237,0.5620721685151711
17Networks_RH_TempPar_10,zReHo_17Networks_RH_TempPar_10gmd_17Networks_RH_TempPar_10zfALFF_17Networks_RH_TempPar_10zALFF_17Networks_RH_TempPar_10zDCwei_17Networks_RH_TempPar_10zDCbin_17Networks_RH_TempPar_10,-0.054349158447275,-0.133096101124126,-0.126776006281911,0.017500278760736,-0.056729702072036,0.009307861842832,-0.34414282732178003
17Networks_RH_TempPar_9,zReHo_17Networks_RH_TempPar_9gmd_17Networks_RH_TempPar_9zfALFF_17Networks_RH_TempPar_9zALFF_17Networks_RH_TempPar_9zDCwei_17Networks_RH_TempPar_9zDCbin_17Networks_RH_TempPar_9,-0.137363755672203,-0.183465358958815,-0.158203914387062,-0.078535626972667,0.014902172033084,-0.067028716071616,-0.609695200029279
17Networks_RH_TempPar_8,zReHo_17Networks_RH_TempPar_8gmd_17Networks_RH_TempPar_8zfALFF_17Networks_RH_TempPar_8zALFF_17Networks_RH_TempPar_8zDCwei_17Networks_RH_TempPar_8zDCbin_17Networks_RH_TempPar_8,-0.012218634623178,-0.15672026449731,-0.151906788443517,-0.052207964521352,-0.027697899766191,-0.092725326731432,-0.49347687858297995
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7gmd_17Networks_RH_TempPar_7zfALFF_17Networks_RH_TempPar_7zALFF_17Networks_RH_TempPar_7zDCwei_17Networks_RH_TempPar_7zDCbin_17Networks_RH_TempPar_7,-0.100077193541653,-0.147704589792479,-0.14141269216216,-0.034787659329972,0.08038400834069,-0.039864490168659,-0.383462616654233
17Networks_RH_TempPar_6,zReHo_17Networks_RH_TempPar_6gmd_17Networks_RH_TempPar_6zfALFF_17Networks_RH_TempPar_6zALFF_17Networks_RH_TempPar_6zDCwei_17Networks_RH_TempPar_6zDCbin_17Networks_RH_TempPar_6,-0.119383438655909,-0.083005465456302,-0.064673745981353,-0.046371158883808,-0.008401846550472,-0.075065796582938,-0.39690145211078204
17Networks_RH_TempPar_5,zReHo_17Networks_RH_TempPar_5gmd_17Networks_RH_TempPar_5zfALFF_17Networks_RH_TempPar_5zALFF_17Networks_RH_TempPar_5zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,-0.23874272156669,-0.186543524330992,-0.183177732574777,-0.071199884479004,0.144212023730739,0.02165165320698,-0.513800186013744
17Networks_RH_TempPar_4,zReHo_17Networks_RH_TempPar_4gmd_17Networks_RH_TempPar_4zfALFF_17Networks_RH_TempPar_4zALFF_17Networks_RH_TempPar_4zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,-0.27865864729187,-0.294216058520774,-0.284176940226614,-0.092605308203563,0.07321633556364,-0.03686581198976,-0.9133064306689409
17Networks_RH_TempPar_3,zReHo_17Networks_RH_TempPar_3gmd_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3,-0.177805404616815,-0.132789349279856,-0.136899503105523,-0.132078489268137,-0.089701398300907,0.038598062621578,-0.63067608194966
17Networks_RH_TempPar_2,zReHo_17Networks_RH_TempPar_2gmd_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2,-0.136853041427951,-0.050880748357192,-0.044786615436468,-0.030156570960636,-0.023330105617379,0.083794002930374,-0.20221307886925197
17Networks_RH_TempPar_1,zReHo_17Networks_RH_TempPar_1gmd_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1,-0.07323292994621,0.064780894800415,0.069904150426578,0.105003402950676,0.066654507793173,0.151906574252443,0.38501660027707496
17Networks_RH_DefaultC_PHC_2,zReHo_17Networks_RH_DefaultC_PHC_2gmd_17Networks_RH_DefaultC_PHC_2zfALFF_17Networks_RH_DefaultC_PHC_2zALFF_17Networks_RH_DefaultC_PHC_2zDCwei_17Networks_RH_DefaultC_PHC_2zDCbin_17Networks_RH_DefaultC_PHC_2,-0.086445635295128,-0.139710869074205,-0.134594198767966,-0.056990410762553,0.052315278956793,0.015006854866942,-0.350418980076117
17Networks_RH_DefaultC_PHC_1,zReHo_17Networks_RH_DefaultC_PHC_1gmd_17Networks_RH_DefaultC_PHC_1zfALFF_17Networks_RH_DefaultC_PHC_1zALFF_17Networks_RH_DefaultC_PHC_1zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1,-0.070659883814901,-0.107495350533672,-0.091117352779732,0.122587529024358,0.023717944664723,0.109449287999648,-0.013517825439575998
17Networks_RH_DefaultC_Rsp_2,zReHo_17Networks_RH_DefaultC_Rsp_2gmd_17Networks_RH_DefaultC_Rsp_2zfALFF_17Networks_RH_DefaultC_Rsp_2zALFF_17Networks_RH_DefaultC_Rsp_2zDCwei_17Networks_RH_DefaultC_Rsp_2zDCbin_17Networks_RH_DefaultC_Rsp_2,-0.026979609056449,0.055308435366863,0.071038725067604,-0.053530236921183,-0.050925017291434,0.018497516636819,0.013409813802220005
17Networks_RH_DefaultC_Rsp_1,zReHo_17Networks_RH_DefaultC_Rsp_1gmd_17Networks_RH_DefaultC_Rsp_1zfALFF_17Networks_RH_DefaultC_Rsp_1zALFF_17Networks_RH_DefaultC_Rsp_1zDCwei_17Networks_RH_DefaultC_Rsp_1zDCbin_17Networks_RH_DefaultC_Rsp_1,-0.001175907846825,0.047737056970341,0.053348227064496,0.034839614103989,-0.011447640657168,-0.062531707076247,0.060769642558586
17Networks_RH_DefaultC_IPL_2,zReHo_17Networks_RH_DefaultC_IPL_2gmd_17Networks_RH_DefaultC_IPL_2zfALFF_17Networks_RH_DefaultC_IPL_2zALFF_17Networks_RH_DefaultC_IPL_2zDCwei_17Networks_RH_DefaultC_IPL_2zDCbin_17Networks_RH_DefaultC_IPL_2,-0.053359117499559,-0.019303965975948,0.022398687140504,-0.087866559563853,-0.153995391020439,0.109755772455423,-0.182370574463872
17Networks_RH_DefaultC_IPL_1,zReHo_17Networks_RH_DefaultC_IPL_1gmd_17Networks_RH_DefaultC_IPL_1zfALFF_17Networks_RH_DefaultC_IPL_1zALFF_17Networks_RH_DefaultC_IPL_1zDCwei_17Networks_RH_DefaultC_IPL_1zDCbin_17Networks_RH_DefaultC_IPL_1,-0.251851555927346,-0.139549417367633,-0.104864723157904,-0.169210086208581,-0.089313824273752,-0.016830597110349,-0.7716202040455649
17Networks_RH_DefaultB_PFCv_3,zReHo_17Networks_RH_DefaultB_PFCv_3gmd_17Networks_RH_DefaultB_PFCv_3zfALFF_17Networks_RH_DefaultB_PFCv_3zALFF_17Networks_RH_DefaultB_PFCv_3zDCwei_17Networks_RH_DefaultB_PFCv_3zDCbin_17Networks_RH_DefaultB_PFCv_3,-0.07871565227059,-0.016429543836515,-0.000948019770579,-0.122292774119969,0.077344375648415,0.07631301037674,-0.06472860397249801
17Networks_RH_DefaultB_PFCv_2,zReHo_17Networks_RH_DefaultB_PFCv_2gmd_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2,-0.116229078149742,-0.058410209405689,-0.049939749062795,-0.134616451168542,0.039637891714651,-0.078528511261594,-0.39808610733371097
17Networks_RH_DefaultB_PFCv_1,zReHo_17Networks_RH_DefaultB_PFCv_1gmd_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1,-0.109661940665383,0.002785325360235,0.014053997065703,0.09584654141904,-0.019481450975466,0.050467426365994,0.03400989857012301
