parc_name,parcel_name,zDCbin_sws_fa_fdr,zDCwei_sws_fa_fdr,zfALFF_sws_fa_fdr,gmd_sws_fa_fdr,zReHo_sws_fa_fdr,zALFF_sws_fa_fdr,sws_fa
17Networks_6,zALFF_17Networks_6,,,,,,0.045724255434477,0.045724255434477
17Networks_5,zALFF_17Networks_5,,,,,,0.036453782727283,0.036453782727283
17Networks_4,zALFF_17Networks_4,,,,,,0.041913907181599,0.041913907181599
17Networks_3,zALFF_17Networks_3,,,,,,0.047006516716513,0.047006516716513
17Networks_2,zALFF_17Networks_2,,,,,,0.01658421035834,0.01658421035834
17Networks_1,zALFF_17Networks_1,,,,,,0.000748216585163,0.000748216585163
cHipp_L,zReHo_cHipp_LzfALFF_cHipp_L,0,0,0.043293561030985,0,0.047006516716513,0,0.090300077747498
mAmyg_L,zReHo_mAmyg_LzfALFF_mAmyg_L,0,0,0.017296866947302,0,0.045724255434477,0,0.063021122381779
17Networks_RH_DefaultA_IPL_2,zReHo_17Networks_RH_DefaultA_IPL_2,,,,,0.036453782727283,,0.036453782727283
17Networks_RH_DorsAttnA_TempOcc_3,zReHo_17Networks_RH_DorsAttnA_TempOcc_3zfALFF_17Networks_RH_DorsAttnA_TempOcc_3,0,0,0.046627145733428,0,0.016999704441033,0,0.063626850174461
17Networks_RH_SomMotB_S2_2,zReHo_17Networks_RH_SomMotB_S2_2,,,,,0.048326171502656,,0.048326171502656
17Networks_RH_VisCent_Striate_1,zReHo_17Networks_RH_VisCent_Striate_1,,,,,0.047006516716513,,0.047006516716513
17Networks_RH_VisCent_ExStr_6,zReHo_17Networks_RH_VisCent_ExStr_6,,,,,0.036469555507003,,0.036469555507003
17Networks_LH_SomMotA_8,zReHo_17Networks_LH_SomMotA_8gmd_17Networks_LH_SomMotA_8zALFF_17Networks_LH_SomMotA_8,0,0,0,0.043293561030985,0.046422601991831,0.036453782727283,0.126169945750099
17Networks_LH_SomMotA_5,zReHo_17Networks_LH_SomMotA_5,,,,,0.047006516716513,,0.047006516716513
17Networks_LH_SomMotA_1,zReHo_17Networks_LH_SomMotA_1zALFF_17Networks_LH_SomMotA_1,0,0,0,0,0.047006516716513,0.047905412153911,0.094911928870424
lPFtha_R,gmd_lPFtha_R,,,,0.016999704441033,,,0.016999704441033
cTtha_L,gmd_cTtha_L,,,,0.043293561030985,,,0.043293561030985
17Networks_RH_TempPar_3,gmd_17Networks_RH_TempPar_3,,,,0.047006516716513,,,0.047006516716513
17Networks_RH_ContC_pCun_2,gmd_17Networks_RH_ContC_pCun_2,,,,0.043293561030985,,,0.043293561030985
17Networks_RH_SalVentAttnA_ParMed_3,gmd_17Networks_RH_SalVentAttnA_ParMed_3zfALFF_17Networks_RH_SalVentAttnA_ParMed_3,0,0,0.036453782727283,0.045724255434477,0,0,0.08217803816176
17Networks_RH_DorsAttnA_SPL_3,gmd_17Networks_RH_DorsAttnA_SPL_3zfALFF_17Networks_RH_DorsAttnA_SPL_3,0,0,0.047006516716513,0.043293561030985,0,0,0.090300077747498
17Networks_RH_DorsAttnA_SPL_1,gmd_17Networks_RH_DorsAttnA_SPL_1zfALFF_17Networks_RH_DorsAttnA_SPL_1,0,0,0.048697032052458,0.043293561030985,0,0,0.091990593083443
17Networks_RH_SomMotA_11,gmd_17Networks_RH_SomMotA_11,,,,0.021665680203126,,,0.021665680203126
17Networks_RH_SomMotA_5,gmd_17Networks_RH_SomMotA_5,,,,0.043293561030985,,,0.043293561030985
17Networks_RH_VisPeri_ExStrSup_3,gmd_17Networks_RH_VisPeri_ExStrSup_3,,,,0.043293561030985,,,0.043293561030985
17Networks_LH_DefaultB_PFCv_4,gmd_17Networks_LH_DefaultB_PFCv_4,,,,0.047006516716513,,,0.047006516716513
17Networks_LH_LimbicB_OFC_5,gmd_17Networks_LH_LimbicB_OFC_5zALFF_17Networks_LH_LimbicB_OFC_5,0,0,0,0.039183507034882,0,0.046311119579873,0.085494626614755
17Networks_LH_DorsAttnA_TempOcc_4,gmd_17Networks_LH_DorsAttnA_TempOcc_4zALFF_17Networks_LH_DorsAttnA_TempOcc_4,0,0,0,0.043293561030985,0,0.045724255434477,0.089017816465462
17Networks_LH_SomMotB_S2_5,gmd_17Networks_LH_SomMotB_S2_5,,,,0.046311119579873,,,0.046311119579873
17Networks_LH_SomMotA_13,gmd_17Networks_LH_SomMotA_13,,,,0.043293561030985,,,0.043293561030985
17Networks_LH_SomMotA_11,gmd_17Networks_LH_SomMotA_11,,,,0.045724255434477,,,0.045724255434477
17Networks_LH_VisPeri_ExStrInf_3,gmd_17Networks_LH_VisPeri_ExStrInf_3zALFF_17Networks_LH_VisPeri_ExStrInf_3,0,0,0,0.046311119579873,0,0.048697032052458,0.095008151632331
Otha_L,zfALFF_Otha_L,,,0.047006516716513,,,,0.047006516716513
rTtha_R,zfALFF_rTtha_R,,,0.045724255434477,,,,0.045724255434477
rTtha_L,zfALFF_rTtha_L,,,0.048183453695863,,,,0.048183453695863
Stha_L,zfALFF_Stha_L,,,0.047006516716513,,,,0.047006516716513
rHipp_L,zfALFF_rHipp_L,,,0.016999704441033,,,,0.016999704441033
lAmyg_R,zfALFF_lAmyg_R,,,0.043293561030985,,,,0.043293561030985
mAmyg_R,zfALFF_mAmyg_R,,,0.017296866947302,,,,0.017296866947302
17Networks_RH_DefaultA_IPL_1,zfALFF_17Networks_RH_DefaultA_IPL_1,,,0.048183453695863,,,,0.048183453695863
17Networks_RH_ContB_Temp_2,zfALFF_17Networks_RH_ContB_Temp_2zALFF_17Networks_RH_ContB_Temp_2,0,0,0.045724255434477,0,0,0.047006516716513,0.09273077215099
17Networks_RH_ContA_PFCl_5,zfALFF_17Networks_RH_ContA_PFCl_5,,,0.047006516716513,,,,0.047006516716513
17Networks_RH_ContA_PFCl_4,zfALFF_17Networks_RH_ContA_PFCl_4,,,0.036453782727283,,,,0.036453782727283
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,,0.047006516716513,,,,0.047006516716513
17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,,,0.043293561030985,,,,0.043293561030985
17Networks_RH_SalVentAttnA_ParMed_4,zfALFF_17Networks_RH_SalVentAttnA_ParMed_4,,,0.047006516716513,,,,0.047006516716513
17Networks_RH_SalVentAttnA_FrMed_2,zfALFF_17Networks_RH_SalVentAttnA_FrMed_2,,,0.047006516716513,,,,0.047006516716513
17Networks_RH_SalVentAttnA_ParMed_2,zfALFF_17Networks_RH_SalVentAttnA_ParMed_2zDCwei_17Networks_RH_SalVentAttnA_ParMed_2zDCbin_17Networks_RH_SalVentAttnA_ParMed_2,0.043293561030985,0.043293561030985,0.043293561030985,0,0,0,0.129880683092955
17Networks_RH_SalVentAttnA_FrMed_1,zfALFF_17Networks_RH_SalVentAttnA_FrMed_1,,,0.043293561030985,,,,0.043293561030985
17Networks_RH_DorsAttnB_PostC_5,zfALFF_17Networks_RH_DorsAttnB_PostC_5,,,0.043293561030985,,,,0.043293561030985
17Networks_RH_DorsAttnB_PostC_4,zfALFF_17Networks_RH_DorsAttnB_PostC_4,,,0.045724255434477,,,,0.045724255434477
17Networks_RH_DorsAttnB_PostC_2,zfALFF_17Networks_RH_DorsAttnB_PostC_2zALFF_17Networks_RH_DorsAttnB_PostC_2,0,0,0.016999704441033,0,0,0.036453782727283,0.053453487168316
17Networks_RH_DorsAttnA_SPL_6,zfALFF_17Networks_RH_DorsAttnA_SPL_6,,,0.048183453695863,,,,0.048183453695863
17Networks_RH_DorsAttnA_ParOcc_1,zfALFF_17Networks_RH_DorsAttnA_ParOcc_1zALFF_17Networks_RH_DorsAttnA_ParOcc_1,0,0,0.043293561030985,0,0,0.036543863346088,0.079837424377073
17Networks_RH_SomMotB_Cent_3,zfALFF_17Networks_RH_SomMotB_Cent_3,,,0.048183453695863,,,,0.048183453695863
17Networks_RH_SomMotA_9,zfALFF_17Networks_RH_SomMotA_9,,,0.043293561030985,,,,0.043293561030985
17Networks_RH_SomMotA_7,zfALFF_17Networks_RH_SomMotA_7,,,0.043293561030985,,,,0.043293561030985
17Networks_RH_SomMotA_6,zfALFF_17Networks_RH_SomMotA_6,,,0.016999704441033,,,,0.016999704441033
17Networks_RH_SomMotA_4,zfALFF_17Networks_RH_SomMotA_4,,,0.027936913215818,,,,0.027936913215818
17Networks_RH_SomMotA_2,zfALFF_17Networks_RH_SomMotA_2,,,0.047006516716513,,,,0.047006516716513
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,,0.01092057680292,,,,0.01092057680292
17Networks_RH_VisCent_ExStr_9,zfALFF_17Networks_RH_VisCent_ExStr_9zALFF_17Networks_RH_VisCent_ExStr_9,0,0,0.045724255434477,0,0,0.049727177340942,0.095451432775419
17Networks_LH_TempPar_1,zfALFF_17Networks_LH_TempPar_1,,,0.047006516716513,,,,0.047006516716513
17Networks_LH_DefaultB_PFCv_2,zfALFF_17Networks_LH_DefaultB_PFCv_2zALFF_17Networks_LH_DefaultB_PFCv_2,0,0,0.043293561030985,0,0,0.036453782727283,0.079747343758268
17Networks_LH_DefaultB_PFCd_1,zfALFF_17Networks_LH_DefaultB_PFCd_1,,,0.046311119579873,,,,0.046311119579873
17Networks_LH_DefaultB_Temp_1,zfALFF_17Networks_LH_DefaultB_Temp_1,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_DefaultA_pCunPCC_7,zfALFF_17Networks_LH_DefaultA_pCunPCC_7zALFF_17Networks_LH_DefaultA_pCunPCC_7zDCbin_17Networks_LH_DefaultA_pCunPCC_7,0.047006516716513,0,0.034732415217618,0,0,0.04632951454136,0.128068446475491
17Networks_LH_ContC_pCun_3,zfALFF_17Networks_LH_ContC_pCun_3zALFF_17Networks_LH_ContC_pCun_3,0,0,0.02560752379904,0,0,0.043293561030985,0.068901084830025
17Networks_LH_ContB_PFCmp_1,zfALFF_17Networks_LH_ContB_PFCmp_1,,,0.047006516716513,,,,0.047006516716513
17Networks_LH_ContB_PFClv_3,zfALFF_17Networks_LH_ContB_PFClv_3,,,0.036453782727283,,,,0.036453782727283
17Networks_LH_ContB_PFClv_2,zfALFF_17Networks_LH_ContB_PFClv_2,,,0.036453782727283,,,,0.036453782727283
17Networks_LH_ContA_PFCl_3,zfALFF_17Networks_LH_ContA_PFCl_3,,,0.048183453695863,,,,0.048183453695863
17Networks_LH_ContA_IPS_1,zfALFF_17Networks_LH_ContA_IPS_1,,,0.045724255434477,,,,0.045724255434477
17Networks_LH_LimbicA_TempPole_7,zfALFF_17Networks_LH_LimbicA_TempPole_7,,,0.036453782727283,,,,0.036453782727283
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,,,0.01092057680292,,,,0.01092057680292
17Networks_LH_LimbicA_TempPole_2,zfALFF_17Networks_LH_LimbicA_TempPole_2,,,0.048955763266837,,,,0.048955763266837
17Networks_LH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_LH_SalVentAttnB_PFCmp_1,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_SalVentAttnB_PFCl_2,zfALFF_17Networks_LH_SalVentAttnB_PFCl_2zALFF_17Networks_LH_SalVentAttnB_PFCl_2,0,0,0.045724255434477,0,0,0.046422601991831,0.092146857426308
17Networks_LH_SalVentAttnA_FrMed_2,zfALFF_17Networks_LH_SalVentAttnA_FrMed_2,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1zDCwei_17Networks_LH_SalVentAttnA_Ins_1zDCbin_17Networks_LH_SalVentAttnA_Ins_1,0.043293561030985,0.045724255434477,0.016999704441033,0,0,0,0.106017520906495
17Networks_LH_DorsAttnB_PostC_7,zfALFF_17Networks_LH_DorsAttnB_PostC_7,,,0.046311119579873,,,,0.046311119579873
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,,0.039009324491974,,,,0.039009324491974
17Networks_LH_DorsAttnB_PostC_4,zfALFF_17Networks_LH_DorsAttnB_PostC_4,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_DorsAttnB_PostC_2,zfALFF_17Networks_LH_DorsAttnB_PostC_2,,,0.036453782727283,,,,0.036453782727283
17Networks_LH_DorsAttnA_SPL_6,zfALFF_17Networks_LH_DorsAttnA_SPL_6,,,0.046311119579873,,,,0.046311119579873
17Networks_LH_DorsAttnA_SPL_3,zfALFF_17Networks_LH_DorsAttnA_SPL_3,,,0.036453782727283,,,,0.036453782727283
17Networks_LH_DorsAttnA_SPL_1,zfALFF_17Networks_LH_DorsAttnA_SPL_1zDCbin_17Networks_LH_DorsAttnA_SPL_1,0.047006516716513,0,0.04632951454136,0,0,0,0.093336031257873
17Networks_LH_DorsAttnA_ParOcc_2,zfALFF_17Networks_LH_DorsAttnA_ParOcc_2,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_SomMotB_S2_2,zfALFF_17Networks_LH_SomMotB_S2_2,,,0.043293561030985,,,,0.043293561030985
17Networks_LH_SomMotB_Aud_2,zfALFF_17Networks_LH_SomMotB_Aud_2,,,0.047006516716513,,,,0.047006516716513
17Networks_LH_SomMotB_Aud_1,zfALFF_17Networks_LH_SomMotB_Aud_1,,,0.016999704441033,,,,0.016999704441033
17Networks_RH_DefaultC_PHC_2,zALFF_17Networks_RH_DefaultC_PHC_2zDCwei_17Networks_RH_DefaultC_PHC_2zDCbin_17Networks_RH_DefaultC_PHC_2,0.036453782727283,0.036453782727283,0,0,0,0.046627145733428,0.119534711187994
17Networks_RH_DefaultC_IPL_1,zALFF_17Networks_RH_DefaultC_IPL_1,,,,,,0.043293561030985,0.043293561030985
17Networks_RH_DefaultB_PFCd_2,zALFF_17Networks_RH_DefaultB_PFCd_2,,,,,,0.047006516716513,0.047006516716513
17Networks_RH_DefaultB_PFCd_1,zALFF_17Networks_RH_DefaultB_PFCd_1,,,,,,0.047006516716513,0.047006516716513
17Networks_RH_DefaultA_PFCm_6,zALFF_17Networks_RH_DefaultA_PFCm_6,,,,,,0.045724255434477,0.045724255434477
17Networks_RH_DefaultA_PFCd_1,zALFF_17Networks_RH_DefaultA_PFCd_1,,,,,,0.020665192182982,0.020665192182982
17Networks_RH_ContC_Cingp_2,zALFF_17Networks_RH_ContC_Cingp_2zDCbin_17Networks_RH_ContC_Cingp_2,0.048183453695863,0,0,0,0,0.043293561030985,0.091477014726848
17Networks_RH_ContC_pCun_3,zALFF_17Networks_RH_ContC_pCun_3,,,,,,0.047006516716513,0.047006516716513
17Networks_RH_ContB_PFCmp_1,zALFF_17Networks_RH_ContB_PFCmp_1,,,,,,0.047006516716513,0.047006516716513
17Networks_RH_ContB_PFClv_3,zALFF_17Networks_RH_ContB_PFClv_3,,,,,,0.020665192182982,0.020665192182982
17Networks_RH_ContB_PFCld_2,zALFF_17Networks_RH_ContB_PFCld_2,,,,,,0.046328610346943,0.046328610346943
17Networks_RH_ContA_PFCl_2,zALFF_17Networks_RH_ContA_PFCl_2,,,,,,0.039652970560335,0.039652970560335
17Networks_RH_SalVentAttnB_PFCmp_2,zALFF_17Networks_RH_SalVentAttnB_PFCmp_2,,,,,,0.043293561030985,0.043293561030985
17Networks_RH_DorsAttnB_FEF_2,zALFF_17Networks_RH_DorsAttnB_FEF_2,,,,,,0.036453782727283,0.036453782727283
17Networks_RH_DorsAttnA_TempOcc_1,zALFF_17Networks_RH_DorsAttnA_TempOcc_1zDCwei_17Networks_RH_DorsAttnA_TempOcc_1zDCbin_17Networks_RH_DorsAttnA_TempOcc_1,0.043293561030985,0.043293561030985,0,0,0,0.034732415217618,0.121319537279588
17Networks_RH_VisPeri_ExStrInf_4,zALFF_17Networks_RH_VisPeri_ExStrInf_4,,,,,,0.046633253568157,0.046633253568157
17Networks_RH_VisPeri_ExStrInf_3,zALFF_17Networks_RH_VisPeri_ExStrInf_3,,,,,,0.036453782727283,0.036453782727283
17Networks_RH_VisPeri_ExStrInf_2,zALFF_17Networks_RH_VisPeri_ExStrInf_2,,,,,,0.045724255434477,0.045724255434477
17Networks_RH_VisPeri_ExStrInf_1,zALFF_17Networks_RH_VisPeri_ExStrInf_1,,,,,,0.039183507034882,0.039183507034882
17Networks_RH_VisCent_ExStr_1,zALFF_17Networks_RH_VisCent_ExStr_1,,,,,,0.036453782727283,0.036453782727283
17Networks_LH_DefaultC_PHC_3,zALFF_17Networks_LH_DefaultC_PHC_3zDCwei_17Networks_LH_DefaultC_PHC_3zDCbin_17Networks_LH_DefaultC_PHC_3,0.043293561030985,0.043293561030985,0,0,0,0.043293561030985,0.129880683092955
17Networks_LH_DefaultC_PHC_2,zALFF_17Networks_LH_DefaultC_PHC_2,,,,,,0.047006516716513,0.047006516716513
