parc_name,parcel_name,zALFF_sws_fa_p,zDCbin_sws_fa_p,zDCwei_sws_fa_p,zfALFF_sws_fa_p,zReHo_sws_fa_p,gmd_sws_fa_p,sws_fa
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.391375234342899,0.908416307254366,0.922059115214674,0.680832984933722,0.764733358494121,0.455413139184593,4.12283013942438
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.091213690246691,0.781908648994553,0.797297330128937,0.921643207178751,0.32356583279135,0.457278056050889,3.37290676539117
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.224224459665845,0.831295481321221,0.879514307097159,0.220067296894659,0.088917845619564,0.239217769918189,2.48323716051664
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.602594567405243,0.744730583160367,0.797545401159239,0.829508063950594,0.382855307368368,0.596597230980581,3.95383115402439
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.765022210116535,0.80094146154289,0.694848356284993,0.944438795846687,0.363385263224323,0.291418084123181,3.86005417113861
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.170698913031456,0.515458787566048,0.382285229329288,0.564794605505621,0.766957299252706,0.095012211159263,2.49520704584438
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.136250464893398,0.414177900140632,0.405454877820554,0.139216144388802,0.098770878579714,0.118473013075739,1.31234327889884
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.253888912602861,0.768430060539322,0.738547087280567,0.588604807659373,0.257388098160598,0.160893237588261,2.76775220383098
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.136588423607176,0.59752338743483,0.565738338898424,0.143289637238374,0.317955528185093,0.0899528803822,1.8510481957461
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.316935744091788,0.663693689802879,0.643517569512501,0.355285789670463,0.22554288899481,0.141601433647189,2.34657711571963
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.119732506875599,0.848473919378667,0.889636838838382,0.600332600369175,0.29246965434063,0.756900158642378,3.50754567844483
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.027955796970616,0.480368442818068,0.493179243005795,0.88912888840731,0.880301731050859,0.85112034333725,3.6220544455899
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,0.007981948933548,0.590239905791624,0.677740339805563,0.335309776832302,0.417212922848554,0.378145037918866,2.40662993213046
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.011914613208983,0.950289972807131,0.801205073602963,0.49971204116187,0.715396155626075,0.972544496429067,3.95106235283609
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.035909579963024,0.997581319774434,0.958927269994157,0.356572431012701,0.747348290167826,0.303542316799484,3.39988120771163
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,0.000505102853553,0.928349627141913,0.969148270104497,0.084418231101693,0.149918332049232,0.993195928894873,3.12553549214576
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,3.79805373179259E-06,0.25138584217133,0.174470815701192,0.920420064556873,0.741964696105642,0.282791171337713,2.37103638792648
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.842894860092958,0.688739719121336,0.586259609451958,0.912691640481537,0.571020751773379,0.000977202941348,3.60258378386252
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.719142541143491,0.272386519936689,0.21871018871753,0.17862665152734,0.182066309071505,0.317470901598015,1.88840311199457
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.427178475637975,0.567433679711923,0.572177612241892,0.360788548651685,0.958674298006732,0.641969894383607,3.52822250863381
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.531621521310163,0.476841925818979,0.401756331500367,0.12118935312019,0.841973183755115,0.01679533912436,2.39017765462917
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.580515867595209,0.62148168271834,0.612423706587488,0.21715039549476,0.601119323200811,0.740630216499832,3.37332119209644
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.924229170804276,0.616022448132206,0.617298717221458,0.040746306100954,0.060392353793921,0.913496534081954,3.17218553013477
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.477295497620849,0.96073034561794,0.967727907695286,0.215187187793727,0.824643947440219,0.092130705541746,3.53771559170977
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.714277860916281,0.532360447196056,0.451393873145379,0.155261320869999,0.319166945799384,0.280278735774047,2.45273918370115
