parc_name,parcel_name,zALFF_sws_ms_fdr,zfALFF_sws_ms_fdr,gmd_sws_ms_fdr,zReHo_sws_ms_fdr,zDCbin_sws_ms_fdr,zDCwei_sws_ms_fdr,sws_ms
17Networks_1,zDCwei_17Networks_1zDCbin_17Networks_1,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
dCa_R,zReHo_dCa_R,,,,0.049179098733603,,,0.049179098733603
dCa_L,zReHo_dCa_L,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_DefaultA_PFCm_6,zReHo_17Networks_RH_DefaultA_PFCm_6,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_ContA_Cingm_1,zReHo_17Networks_RH_ContA_Cingm_1,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_ContA_PFCl_5,zReHo_17Networks_RH_ContA_PFCl_5zALFF_17Networks_RH_ContA_PFCl_5,0.049179098733603,0,0,0.049179098733603,0,0,0.098358197467206
17Networks_RH_LimbicB_OFC_3,zReHo_17Networks_RH_LimbicB_OFC_3,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_SalVentAttnA_FrOper_2,zReHo_17Networks_RH_SalVentAttnA_FrOper_2,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_SalVentAttnA_Ins_3,zReHo_17Networks_RH_SalVentAttnA_Ins_3zfALFF_17Networks_RH_SalVentAttnA_Ins_3,0,0.049179098733603,0,0.049179098733603,0,0,0.098358197467206
17Networks_RH_DorsAttnB_FEF_3,zReHo_17Networks_RH_DorsAttnB_FEF_3,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_SomMotA_17,zReHo_17Networks_RH_SomMotA_17,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_SomMotA_14,zReHo_17Networks_RH_SomMotA_14zfALFF_17Networks_RH_SomMotA_14zALFF_17Networks_RH_SomMotA_14,0.049179098733603,0.049179098733603,0,0.049179098733603,0,0,0.147537296200809
17Networks_RH_SomMotA_9,zReHo_17Networks_RH_SomMotA_9,,,,0.049179098733603,,,0.049179098733603
17Networks_RH_VisCent_ExStr_6,zReHo_17Networks_RH_VisCent_ExStr_6,,,,0.049179098733603,,,0.049179098733603
17Networks_LH_DefaultB_Temp_5,zReHo_17Networks_LH_DefaultB_Temp_5,,,,0.049179098733603,,,0.049179098733603
17Networks_LH_DorsAttnA_SPL_6,zReHo_17Networks_LH_DorsAttnA_SPL_6,,,,0.049179098733603,,,0.049179098733603
