parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_15,zReHo_17Networks_15,,,,,,0.01752400297832,0.01752400297832
17Networks_11,zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11,0,0,0.028364375431148,0.024345739320034,0.029929561754879,0.016879792296413,0.099519468802474
17Networks_9,zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9,0,0,0.034696386799194,0.026202266369916,0.024831920987231,0.024345739320034,0.110076313476375
17Networks_7,zReHo_17Networks_7,,,,,,0.03974501423636,0.03974501423636
17Networks_5,zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5,0,0,0,0.049274538265003,0.03960872394604,0.043626187260898,0.132509449471941
17Networks_2,zReHo_17Networks_2zfALFF_17Networks_2,0,0,0,0,0.033329861043242,0.023079353970657,0.056409215013899
17Networks_8,zfALFF_17Networks_8,,,,,0.048707177961764,,0.048707177961764
17Networks_1,zALFF_17Networks_1,,0.008404457243249,,,,,0.008404457243249
lPFtha_L,zReHo_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0,0,0.036936184205192,0.028613691000762,0,0.024831920987231,0.090381796193185
Otha_L,zReHo_Otha_L,,,,,,0.040996408167613,0.040996408167613
Stha_R,zReHo_Stha_R,,,,,,0.033718800311398,0.033718800311398
Stha_L,zReHo_Stha_Lgmd_Stha_L,0.046858958780776,0,0,0,0,0.029929561754879,0.076788520535655
mPMtha_R,zReHo_mPMtha_R,,,,,,0.028484448419602,0.028484448419602
mPMtha_L,zReHo_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0,0,0.024345739320034,0.024962800043355,0,0.03014669746383,0.079455236827219
mPFtha_R,zReHo_mPFtha_R,,,,,,0.048908673805351,0.048908673805351
mPFtha_L,zReHo_mPFtha_L,,,,,,0.026486006723466,0.026486006723466
cHipp_L,zReHo_cHipp_LzfALFF_cHipp_L,0,0,0,0,0.007178888636167,0.015503357870653,0.02268224650682
mAmyg_L,zReHo_mAmyg_LzfALFF_mAmyg_L,0,0,0,0,0.007178888636167,0.032276689891745,0.039455578527912
17Networks_RH_DefaultA_PFCm_5,zReHo_17Networks_RH_DefaultA_PFCm_5,,,,,,0.04909903218292,0.04909903218292
