parc_name,parcel_name,zALFF_sws_rw_p,zDCbin_sws_rw_p,zDCwei_sws_rw_p,zfALFF_sws_rw_p,zReHo_sws_rw_p,gmd_sws_rw_p,sws_rw
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.013542883072193,0.300091682569387,0.302529946923052,0.906372290973821,0.864975392800259,0.046038684965754,2.43355088130447
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.101982621066033,0.541400615314341,0.623623932596933,0.286018143008583,0.140881978701622,0.285506012016285,1.9794133027038
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.261794801946874,0.165558848479389,0.241696757662475,0.0268604308813,0.023071213767191,0.956342824214252,1.67532487695148
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.189209448583036,0.551496190516771,0.641817319542499,0.283621912591029,0.206115090961462,0.562482798446364,2.43474276064116
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.186310072362398,0.485384338015002,0.54373377758887,0.521179883102454,0.13047451518005,0.113960083888086,1.98104267013686
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.152874075970733,0.689069417649886,0.929114040350543,0.805581857181078,0.78659939440217,0.166467777850593,3.529706563405
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.492218137531864,0.060477849827393,0.086377229707208,0.129279249756079,0.047506118275918,0.123492170587775,0.939350755686237
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.415317760499301,0.577126478990235,0.631310065278981,0.30937435434394,0.242646729210115,0.699197731388603,2.87497311971117
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.502706954406611,0.003696931458084,0.007914404669495,0.016385912478292,0.016364031989546,0.546567034979451,1.09363526998148
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.851510589938797,0.208847343202159,0.289640371035464,0.212741205123674,0.273922125055663,0.387932091384859,2.22459372574062
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.867372007095748,0.329600009063366,0.384981636133316,0.467531248589138,0.574227031131859,0.426789547974677,3.0505014799881
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.554523308753583,0.957585476331847,0.911345693946259,0.412963690865672,0.814772847534032,0.552426914246859,4.20361793167825
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,0.684244305459241,0.118735194218955,0.172015331911679,0.046052144007469,0.209898765432831,0.158507001987477,1.38945274301765
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.807619637358446,0.33619252411062,0.426218027753836,0.210394488424981,0.409385438196927,0.403057652263848,2.59286776810866
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.944535147308855,0.173982027607679,0.216760912399428,0.175432004352714,0.331680701293969,0.53099188712188,2.37338268008452
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,0.455774547853427,0.953281279939004,0.711719851514967,0.396096006217375,0.436142865048978,0.476131187288622,3.42914573786237
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,0.994281088038841,0.078823401793695,0.060684014629449,0.470349903360192,0.483541079561648,0.024802999169554,2.11248248655338
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.299848805297831,0.123660346695601,0.085168025326921,0.632087216494346,0.14479811653254,0.729819187964061,2.0153816983113
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.166112506041397,0.198322792581047,0.240973839575663,0.056661295069863,0.378475986741616,0.388808361457384,1.42935478146697
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.164089884891332,0.597415708729629,0.552182907571554,0.813698505750787,0.983360071912439,0.020193805334261,3.13094088419
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.27663089668589,0.372610278896146,0.367759846560391,0.323201429155151,0.507830346795784,0.908844573576375,2.75687737166974
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.232613548193527,0.302478527433709,0.370928873231968,0.372229415575831,0.809019609515101,0.93563794852905,3.02290792247919
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.236060959139024,0.656102161573262,0.863438143908269,0.442691748238184,0.403742623742625,0.396418396925529,2.99845403352689
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.097609714038056,0.3346160417166,0.396280610481387,0.272998787867127,0.772614851148209,0.68352131748422,2.5576413227356
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.098704963817276,0.250789461406905,0.303995200527426,0.141411070581961,0.52005654222953,0.296404109198654,1.61136134776175
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.347225362330623,0.44467780360916,0.470567919522408,0.152860788136604,0.890026378231416,0.152426188439231,2.45778444026944
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.354560099085202,0.881231681997938,0.808616802688902,0.433110077553436,0.997250127112718,0.527563204536532,4.00233199297473
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.066326913042525,0.054653936726603,0.092571954814639,0.03937424914415,0.162834822697781,0.925614445833934,1.34137632225963
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.106153043245078,0.381492953703519,0.439558028316856,0.166848850241839,0.332863430943441,0.955285439222919,2.38220174567365
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.106644494026468,0.146384144292558,0.160632366036583,0.125263207343796,0.342154633316542,0.667597601200621,1.54867644621657
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.203215398754643,0.347369760156449,0.369926762511782,0.131331883948912,0.511300706311724,0.557750363598788,2.1208948752823
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.237931495242475,0.977787894802528,0.898177668779361,0.858160807188198,0.536508447208083,0.299958338417898,3.80852465163854
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.216564460556313,0.708954971243443,0.621924242368978,0.431669482363577,0.835076336898811,0.782155480190279,3.5963449736214
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,0.525718470641468,0.405693799271393,0.446135151363958,0.104172703539293,0.41195215783465,0.876255305838177,2.76992758848894
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.1724736972307,0.457955751595939,0.407703403843345,0.618045301642974,0.926433926505518,0.810838863265295,3.39345094408377
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,0.973512899594017,0.784901085403856,0.584699418467199,0.30104836991939,0.538394013997388,0.978212622499865,4.16076840988172
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.469944921110466,0.286714988143711,0.347604047166033,0.72191922659162,0.222125340902172,0.051961309925009,2.10026983383901
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,0.828704081748371,0.846955220704985,0.906185711850322,0.053652010561615,0.272512323967334,0.488574175377832,3.39658352421046
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,0.807569681542274,0.616271950624188,0.514316938018831,0.07273052277189,0.229476995247266,0.327372627001766,2.56773871520621
