parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
17Networks_15,zReHo_17Networks_15,,,,,,0.044540428762109,0.044540428762109
17Networks_9,zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9,0,0,0.048666690964411,0.044540428762109,0.04447808578329,0,0.13768520550981
17Networks_2,zfALFF_17Networks_2zALFF_17Networks_2,0,0.041309255498928,0,0,0.04961052048189,0,0.090919775980818
17Networks_1,zALFF_17Networks_1,,0.009778574333817,,,,,0.009778574333817
cHipp_L,zReHo_cHipp_LzfALFF_cHipp_L,0,0,0,0,0.014855420518547,0.039714234785231,0.054569655303778
mAmyg_L,zReHo_mAmyg_LzfALFF_mAmyg_L,0,0,0,0,0.006447047112337,0.033089177551158,0.039536224663495
17Networks_RH_DefaultA_PFCm_5,zReHo_17Networks_RH_DefaultA_PFCm_5,,,,,,0.04447808578329,0.04447808578329
17Networks_RH_DefaultA_IPL_2,zReHo_17Networks_RH_DefaultA_IPL_2,,,,,,0.039524775840535,0.039524775840535
17Networks_RH_SalVentAttnA_FrOper_2,zReHo_17Networks_RH_SalVentAttnA_FrOper_2,,,,,,0.039987965805697,0.039987965805697
17Networks_RH_SalVentAttnA_Ins_3,zReHo_17Networks_RH_SalVentAttnA_Ins_3,,,,,,0.04447808578329,0.04447808578329
17Networks_RH_DorsAttnB_FEF_3,zReHo_17Networks_RH_DorsAttnB_FEF_3zfALFF_17Networks_RH_DorsAttnB_FEF_3,0,0,0,0,0.029279081953486,0.043235049428021,0.072514131381507
17Networks_RH_DorsAttnA_TempOcc_3,zReHo_17Networks_RH_DorsAttnA_TempOcc_3zfALFF_17Networks_RH_DorsAttnA_TempOcc_3,0,0,0,0,0.049883727026569,0.031176501588136,0.081060228614705
17Networks_RH_SomMotB_S2_1,zReHo_17Networks_RH_SomMotB_S2_1zfALFF_17Networks_RH_SomMotB_S2_1,0,0,0,0,0.032136943545218,0.04447808578329,0.076615029328508
17Networks_RH_SomMotA_17,zReHo_17Networks_RH_SomMotA_17,,,,,,0.04447808578329,0.04447808578329
17Networks_RH_SomMotA_9,zReHo_17Networks_RH_SomMotA_9zfALFF_17Networks_RH_SomMotA_9,0,0,0,0,0.039524775840535,0.0292415330267,0.068766308867235
17Networks_RH_VisCent_ExStr_6,zReHo_17Networks_RH_VisCent_ExStr_6,,,,,,0.040176966219139,0.040176966219139
17Networks_LH_ContA_IPS_2,zReHo_17Networks_LH_ContA_IPS_2,,,,,,0.041309255498928,0.041309255498928
17Networks_LH_SomMotA_12,zReHo_17Networks_LH_SomMotA_12zALFF_17Networks_LH_SomMotA_12,0,0.043261529597611,0,0,0,0.043943963729318,0.087205493326929
17Networks_LH_SomMotA_9,zReHo_17Networks_LH_SomMotA_9zALFF_17Networks_LH_SomMotA_9,0,0.027019146854604,0,0,0,0.04447808578329,0.071497232637894
17Networks_LH_SomMotA_8,zReHo_17Networks_LH_SomMotA_8zALFF_17Networks_LH_SomMotA_8,0,0.034369527745088,0,0,0,0.044540428762109,0.078909956507197
17Networks_LH_SomMotA_5,zReHo_17Networks_LH_SomMotA_5,,,,,,0.011554573367279,0.011554573367279
lPFtha_R,gmd_lPFtha_R,0.026109301883924,,,,,,0.026109301883924
dlPu_L,gmd_dlPu_LzDCwei_dlPu_L,0.04276510218173,0,0,0.041309255498928,0,0,0.084074357680658
17Networks_RH_DefaultB_PFCd_2,gmd_17Networks_RH_DefaultB_PFCd_2zALFF_17Networks_RH_DefaultB_PFCd_2,0.044082670420872,0.0292415330267,0,0,0,0,0.073324203447572
