parc_name,parcel_name,zALFF_sws_total_p,zfALFF_sws_total_p,zDCbin_sws_total_p,zDCwei_sws_total_p,fALFF_sws_total_p,zReHo_sws_total_p,gmd_sws_total_p,sws_total
17Networks_17,gmd_17Networks_17zReHo_17Networks_17fALFF_17Networks_17zDCwei_17Networks_17,0,0,0,0.953697991276688,0.471142284770773,0.987670947035281,0.716641112481037,3.12915233556378
17Networks_16,gmd_17Networks_16zReHo_17Networks_16fALFF_17Networks_16zDCwei_17Networks_16,0,0,0,0.661924443952827,0.755138645372664,0.59137249188857,0.320792947450863,2.32922852866492
17Networks_15,gmd_17Networks_15zReHo_17Networks_15fALFF_17Networks_15zDCwei_17Networks_15,0,0,0,0.987772837198604,0.439418321248283,0.277174911141663,0.440125135770733,2.14449120535928
17Networks_14,gmd_17Networks_14zReHo_17Networks_14fALFF_17Networks_14zDCwei_17Networks_14,0,0,0,0.860030012309287,0.311358933548229,0.589983488244804,0.865470409616968,2.62684284371929
17Networks_13,gmd_17Networks_13zReHo_17Networks_13fALFF_17Networks_13zDCwei_17Networks_13,0,0,0,0.996028374451467,0.428135380721721,0.720432991947725,0.562963824329431,2.70756057145034
17Networks_12,gmd_17Networks_12zReHo_17Networks_12fALFF_17Networks_12zDCwei_17Networks_12,0,0,0,0.84395429242575,0.26331495820513,0.917840623004243,0.768981514162404,2.79409138779753
17Networks_11,gmd_17Networks_11zReHo_17Networks_11fALFF_17Networks_11zDCwei_17Networks_11,0,0,0,0.791787466408317,0.227532970445777,0.311986362771939,0.826300226214386,2.15760702584042
17Networks_10,gmd_17Networks_10zReHo_17Networks_10fALFF_17Networks_10zDCwei_17Networks_10,0,0,0,0.798571011883931,0.105471759092441,0.358073112227092,0.598351806878446,1.86046769008191
17Networks_9,gmd_17Networks_9zReHo_17Networks_9fALFF_17Networks_9zDCwei_17Networks_9,0,0,0,0.309237321558901,0.196521444954981,0.242514059350198,0.447395136963249,1.19566796282733
17Networks_8,gmd_17Networks_8zReHo_17Networks_8fALFF_17Networks_8zDCwei_17Networks_8,0,0,0,0.592699850463859,0.381350226364086,0.560196244470429,0.277858636988553,1.81210495828693
17Networks_7,gmd_17Networks_7zReHo_17Networks_7fALFF_17Networks_7zDCwei_17Networks_7,0,0,0,0.344700573686399,0.073766651128183,0.352100718092094,0.38916989321943,1.15973783612611
17Networks_6,gmd_17Networks_6zReHo_17Networks_6fALFF_17Networks_6zDCwei_17Networks_6,0,0,0,0.608251920280982,0.147966154057684,0.543382647019829,0.689660265403055,1.98926098676155
17Networks_5,gmd_17Networks_5zReHo_17Networks_5fALFF_17Networks_5zDCwei_17Networks_5,0,0,0,0.229046889777376,0.070496636291132,0.117646455405738,0.827830484428887,1.24502046590313
17Networks_4,gmd_17Networks_4zReHo_17Networks_4fALFF_17Networks_4zDCwei_17Networks_4,0,0,0,0.544191340974038,0.017026057656504,0.088475555339251,0.387947627150315,1.03764058112011
17Networks_3,gmd_17Networks_3zReHo_17Networks_3fALFF_17Networks_3zDCwei_17Networks_3,0,0,0,0.523710063061018,0.045311170238092,0.34983902500318,0.243671938985787,1.16253219728808
17Networks_2,gmd_17Networks_2zReHo_17Networks_2fALFF_17Networks_2zDCwei_17Networks_2,0,0,0,0.452845621527002,0.046684902106706,0.113489265970695,0.959026000067861,1.57204578967226
17Networks_1,gmd_17Networks_1zReHo_17Networks_1fALFF_17Networks_1zDCwei_17Networks_1,0,0,0,0.778825666527608,0.188674168230257,0.556458143428452,0.883961648063103,2.40791962624942
17Networks_RH_TempPar_3,gmd_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3zReHo_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3,0.494229553618647,0.612690118475733,0.123090743218618,0.174229174361493,0,0.502855336078586,0.487615686532963,2.39471061228604
lPFtha_R,gmd_lPFtha_RzReHo_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.198681065016243,0.544176443207736,0.157583925738904,0.067833315751651,0,0.271573654619588,0.816131742901216,2.05598014723534
lPFtha_L,gmd_lPFtha_LzReHo_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.628210831649,0.050339256916694,0.028121991475068,0.015990096263725,0,0.088667340090226,0.847753499035547,1.65908301543026
cTtha_R,gmd_cTtha_RzReHo_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.093361328871231,0.358019781350068,0.356373145480726,0.308448295488667,0,0.881926518502123,0.99029752485339,2.98842659454621
cTtha_L,gmd_cTtha_LzReHo_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.174210192229247,0.065931546469603,0.124426311368781,0.09291735164247,0,0.295922924371045,0.80372537532353,1.55713370140468
Otha_R,gmd_Otha_RzReHo_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.188785434205235,0.128342900864178,0.160250524872811,0.145542062135418,0,0.43133278858209,0.706479230326018,1.76073294098575
Otha_L,gmd_Otha_LzReHo_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.416135395512954,0.023499150363637,0.18734418653304,0.161278795429997,0,0.045855262808633,0.785292780775478,1.61940557142374
PPtha_R,gmd_PPtha_RzReHo_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.13280625303747,0.095920919803695,0.291638636754342,0.220919829955989,0,0.244495636397334,0.733709302480489,1.71949057842932
PPtha_L,gmd_PPtha_LzReHo_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.270677829788527,0.093869886335608,0.20513900961529,0.180653246281248,0,0.233392553034755,0.750577760010453,1.73431028506588
rTtha_R,gmd_rTtha_RzReHo_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.460739840652431,0.025384255310422,0.058733173202253,0.049560777295917,0,0.294274837085407,0.643989424239958,1.53268230778639
rTtha_L,gmd_rTtha_LzReHo_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.449689833807904,0.031150413675611,0.357044282329515,0.358620495094557,0,0.256248011978338,0.812945667371064,2.26569870425699
Stha_R,gmd_Stha_RzReHo_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.182373768689888,0.018550134442944,0.208039641368868,0.124655652319353,0,0.094078175996628,0.812572204679787,1.44026957749747
Stha_L,gmd_Stha_LzReHo_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.486202236517802,0.029610724223747,0.122312917276598,0.099944401591264,0,0.107261030993003,0.790297372988468,1.63562868359088
mPMtha_R,gmd_mPMtha_RzReHo_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.356143050985968,0.200912765480166,0.107044023673836,0.073548288264923,0,0.085406500017563,0.864989813595747,1.6880444420182
mPMtha_L,gmd_mPMtha_LzReHo_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.224843710735052,0.022681843309348,0.015144386151709,0.012772771101107,0,0.137278304149643,0.800834709626531,1.21355572507339
