parc_name,parcel_name,zALFF_sws_total_r,zfALFF_sws_total_r,zDCbin_sws_total_r,zDCwei_sws_total_r,fALFF_sws_total_r,zReHo_sws_total_r,gmd_sws_total_r,sws_total
17Networks_17,gmd_17Networks_17zReHo_17Networks_17fALFF_17Networks_17zDCwei_17Networks_17,0,0,0,-0.005426199185232,0.067268222470055,0.00144411540362,0.033909297481804,0.097195436170247
17Networks_16,gmd_17Networks_16zReHo_17Networks_16fALFF_17Networks_16zDCwei_17Networks_16,0,0,0,-0.040846164577783,0.029139207684444,0.050138719657509,-0.092583855602903,-0.054152092838733
17Networks_15,gmd_17Networks_15zReHo_17Networks_15fALFF_17Networks_15zDCwei_17Networks_15,0,0,0,-0.001432179971861,0.072161648089593,0.101293196865858,-0.072050507774911,0.099972157208679
17Networks_14,gmd_17Networks_14zReHo_17Networks_14fALFF_17Networks_14zDCwei_17Networks_14,0,0,0,-0.016478078538303,0.094398401906705,0.050326371505004,-0.015831396004142,0.112415298869264
17Networks_13,gmd_17Networks_13zReHo_17Networks_13fALFF_17Networks_13zDCwei_17Networks_13,0,0,0,0.000465184451822,0.073949746816241,0.033435767396658,-0.054018150618178,0.053832548046543
17Networks_12,gmd_17Networks_12zReHo_17Networks_12fALFF_17Networks_12zDCwei_17Networks_12,0,0,0,0.018393629029436,0.104250942927002,0.009639884362418,-0.0274427856543,0.104841670664556
17Networks_11,gmd_17Networks_11zReHo_17Networks_11fALFF_17Networks_11zDCwei_17Networks_11,0,0,0,0.024667030554004,0.112415938773883,0.094276623096186,-0.020506110473178,0.210853481950895
17Networks_10,gmd_17Networks_10zReHo_17Networks_10fALFF_17Networks_10zDCwei_17Networks_10,0,0,0,0.023845630731712,0.150428224388061,0.085729440002929,-0.049198827414386,0.210804467708316
17Networks_9,gmd_17Networks_9zReHo_17Networks_9fALFF_17Networks_9zDCwei_17Networks_9,0,0,0,0.094811376867452,0.120258929254959,0.108896273449092,-0.070913166020503,0.253053413551
17Networks_8,gmd_17Networks_8zReHo_17Networks_8fALFF_17Networks_8zDCwei_17Networks_8,0,0,0,0.049959582654852,0.081673369611348,0.054400948740211,-0.10114989834934,0.084884002657071
17Networks_7,gmd_17Networks_7zReHo_17Networks_7fALFF_17Networks_7zDCwei_17Networks_7,0,0,0,0.088133850989967,0.165939594572721,0.086796227888842,-0.080344744410279,0.260524929041251
17Networks_6,gmd_17Networks_6zReHo_17Networks_6fALFF_17Networks_6zDCwei_17Networks_6,0,0,0,0.047873962917086,0.134588015320785,0.056746383059414,-0.037304461499495,0.20190389979779
17Networks_5,gmd_17Networks_5zReHo_17Networks_5fALFF_17Networks_5zDCwei_17Networks_5,0,0,0,0.112053018467611,0.167828744230407,0.145450482303718,0.020322605429972,0.445654850431708
17Networks_4,gmd_17Networks_4zReHo_17Networks_4fALFF_17Networks_4zDCwei_17Networks_4,0,0,0,0.056632771340665,0.220247779283991,0.158193306040626,-0.080551349906212,0.35452250675907
17Networks_3,gmd_17Networks_3zReHo_17Networks_3fALFF_17Networks_3zDCwei_17Networks_3,0,0,0,0.05953645007942,0.185444825886929,0.087203157557398,-0.108630619246126,0.223553814277621
17Networks_2,gmd_17Networks_2zReHo_17Networks_2fALFF_17Networks_2zDCwei_17Networks_2,0,0,0,0.07006726575315,0.184297083069558,0.147103108539722,0.004801224361363,0.406268681723793
17Networks_1,gmd_17Networks_1zReHo_17Networks_1fALFF_17Networks_1zDCwei_17Networks_1,0,0,0,-0.026241843334503,0.122383234730092,0.054919424254397,-0.013638798146804,0.137422017503182
17Networks_RH_TempPar_3,gmd_17Networks_RH_TempPar_3zDCwei_17Networks_RH_TempPar_3zDCbin_17Networks_RH_TempPar_3zReHo_17Networks_RH_TempPar_3zfALFF_17Networks_RH_TempPar_3zALFF_17Networks_RH_TempPar_3,-0.063819320567859,-0.04728312058649,-0.143353234208931,-0.126468349653009,0,-0.062552784675451,-0.064798360908185,-0.508275170599925
lPFtha_R,gmd_lPFtha_RzReHo_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.119685109322984,0.056634863547055,0.131498236449232,0.169420542337248,0,0.102476195094128,0.021727512012144,0.601442458762791
lPFtha_L,gmd_lPFtha_LzReHo_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.045231327493564,0.181374902340573,0.203042188402691,0.222317339533609,0,0.158099340940633,0.017940263882191,0.828005362593261
cTtha_R,gmd_cTtha_RzReHo_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.155848324999543,0.085738916769538,0.086031952614936,0.094965433117339,0,0.013879729402381,-0.001136444489754,0.435327912413983
cTtha_L,gmd_cTtha_LzReHo_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.12647387870848,0.170588512707151,0.142849711258819,0.156057341105719,0,0.097446352931816,0.023222721128776,0.716638517840761
Otha_R,gmd_Otha_RzReHo_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.122352669990891,0.141396704841047,0.130666670931466,0.135390532170466,0,0.073440322762016,0.035182605347434,0.63842950604332
Otha_L,gmd_Otha_LzReHo_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.075881449749825,0.209341239035781,0.122749600381251,0.130348768402255,0,0.184986826284497,0.025455219595051,0.74876310344866
