parcel_name,sws_rw,sws_gb,sws_ms,sws_fa,sws_rs,sws_total
gmd_lPFtha_R,NA,NA,0.049629973313485,0.019383472486361,NA,0.024897106229291
gmd_cTtha_R,0.045187050992911,0.048229326277621,NA,NA,NA,NA
gmd_cTtha_L,NA,NA,NA,0.038771786075038,NA,NA
gmd_Stha_L,NA,NA,NA,NA,0.048122934296035,NA
gmd_dlPu_L,NA,NA,NA,NA,0.036222736244657,0.039122119390372
gmd_NAC_R,0.045185746492174,NA,NA,NA,NA,NA
gmd_cHipp_R,0.04181952257578,NA,NA,NA,NA,NA
gmd_17Networks_RH_TempPar_3,NA,NA,NA,0.047925999654207,NA,NA
gmd_17Networks_RH_TempPar_1,NA,NA,0.049629973313485,NA,NA,NA
gmd_17Networks_RH_DefaultC_PHC_1,NA,NA,0.049954679715131,NA,NA,NA
gmd_17Networks_RH_DefaultB_AntTemp_1,0.04181952257578,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_5,0.029741744850363,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_3,0.045616901289036,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCm_1,0.042043990500054,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_pCunPCC_5,NA,NA,NA,NA,0.037626880144332,NA
gmd_17Networks_RH_DefaultA_pCunPCC_4,NA,NA,0.049629973313485,NA,NA,NA
gmd_17Networks_RH_DefaultA_PFCd_2,NA,0.048229326277621,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_IPL_1,NA,0.048229326277621,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_Temp_1,0.048243944234215,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContC_pCun_2,NA,NA,NA,0.046236947709821,NA,0.045454593906357
gmd_17Networks_RH_ContB_PFClv_4,0.046922372915715,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContB_PFClv_3,NA,NA,0.049629973313485,NA,NA,NA
gmd_17Networks_RH_ContB_PFCld_1,0.04181952257578,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContB_IPL_1,NA,NA,NA,NA,0.036222736244657,0.043395442602173
gmd_17Networks_RH_ContB_Temp_1,0.035706731551254,NA,NA,NA,NA,NA
gmd_17Networks_RH_ContA_IPS_2,NA,NA,NA,NA,0.029990168674293,NA
gmd_17Networks_RH_SalVentAttnB_PFCl_3,0.035706731551254,NA,NA,NA,NA,NA
gmd_17Networks_RH_SalVentAttnB_PFCl_2,0.02820088682704,NA,NA,NA,NA,NA
gmd_17Networks_RH_SalVentAttnA_ParMed_3,NA,NA,NA,0.046236947709821,NA,NA
gmd_17Networks_RH_SalVentAttnA_ParMed_2,NA,0.048229326277621,NA,NA,NA,NA
gmd_17Networks_RH_DorsAttnB_FEF_2,0.046922372915715,NA,NA,NA,NA,NA
gmd_17Networks_RH_DorsAttnA_SPL_3,NA,NA,NA,0.046236947709821,NA,NA
gmd_17Networks_RH_DorsAttnA_SPL_1,NA,NA,NA,0.046236947709821,NA,NA
gmd_17Networks_RH_SomMotB_S2_4,NA,NA,0.049629973313485,NA,NA,NA
gmd_17Networks_RH_SomMotA_19,NA,0.048229326277621,NA,NA,NA,NA
gmd_17Networks_RH_SomMotA_11,NA,NA,NA,0.027178942701919,NA,0.031545548370587
gmd_17Networks_RH_SomMotA_10,NA,NA,NA,NA,0.030546643273501,0.042444246628362
gmd_17Networks_RH_SomMotA_7,NA,NA,NA,NA,0.016935529526682,NA
gmd_17Networks_RH_SomMotA_6,NA,NA,NA,NA,0.044179373341221,NA
