,parcel_name,parc_name,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,gmd_sws_total_fdr,zDCbin_sws_total,zDCwei_sws_total,zALFF_sws_total,zfALFF_sws_total,zReHo_sws_total,gmd_sws_total,sws_total
0,gmd_lPFtha_R,lPFtha_R,,,,,,0.024897106229291,,,,,,0.024897106229291,0.024897106229291
1,gmd_dlPu_L,dlPu_L,,,,,,0.039122119390372,,,,,,0.039122119390372,0.039122119390372
2,gmd_17Networks_RH_ContC_pCun_2,17Networks_RH_ContC_pCun_2,,,,,,0.045454593906357,,,,,,0.045454593906357,0.045454593906357
3,gmd_17Networks_RH_ContB_IPL_1,17Networks_RH_ContB_IPL_1,,,,,,0.043395442602173,,,,,,0.043395442602173,0.043395442602173
4,gmd_17Networks_RH_SomMotA_11,17Networks_RH_SomMotA_11,,,,,,0.031545548370587,,,,,,0.031545548370587,0.031545548370587
5,gmd_17Networks_RH_SomMotA_10,17Networks_RH_SomMotA_10,,,,,,0.042444246628362,,,,,,0.042444246628362,0.042444246628362
6,gmd_17Networks_RH_SomMotA_4,17Networks_RH_SomMotA_4,,,,,,0.045943624203692,,,,,,0.045943624203692,0.045943624203692
7,gmd_17Networks_RH_VisPeri_ExStrSup_3,17Networks_RH_VisPeri_ExStrSup_3,,,,,,0.041873192885196,,,,,,0.041873192885196,0.041873192885196
8,gmd_17Networks_RH_VisCent_ExStr_9,17Networks_RH_VisCent_ExStr_9,,,,,,0.038148341506827,,,,,,0.038148341506827,0.038148341506827
9,gmd_17Networks_RH_VisCent_ExStr_8,17Networks_RH_VisCent_ExStr_8,,,,,,0.026328571631924,,,,,,0.026328571631924,0.026328571631924
10,gmd_17Networks_LH_DefaultB_PFCv_4,17Networks_LH_DefaultB_PFCv_4,,,,,,0.041873192885196,,,,,,0.041873192885196,0.041873192885196
11,gmd_17Networks_LH_LimbicB_OFC_1,17Networks_LH_LimbicB_OFC_1,,,,,,0.038850784714749,,,,,,0.038850784714749,0.038850784714749
12,gmd_17Networks_LH_DorsAttnB_PostC_6,17Networks_LH_DorsAttnB_PostC_6,,,,,,0.041457382877025,,,,,,0.041457382877025,0.041457382877025
13,gmd_17Networks_LH_SomMotA_11,17Networks_LH_SomMotA_11,,,,,,0.026328571631924,,,,,,0.026328571631924,0.026328571631924
