parc_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zReHo_sws_total_fdr
17Networks_17,,,,,,
17Networks_16,,,,,,
17Networks_15,,,,,,0.044540428762109
17Networks_14,,,,,,
17Networks_13,,,,,,
17Networks_12,,,,,,
17Networks_11,,,,,,
17Networks_10,,,,,,
17Networks_9,,,0.04447808578329,0.048666690964411,0.044540428762109,
17Networks_8,,,,,,
17Networks_7,,,,,,
17Networks_6,,,,,,
17Networks_5,,,,,,
17Networks_4,,,,,,
17Networks_3,,,,,,
17Networks_2,,0.041309255498928,0.04961052048189,,,
17Networks_1,,0.009778574333817,,,,
lPFtha_R,0.026109301883924,,,,,
lPFtha_L,,,0.04447808578329,0.043909520788104,0.035961099656752,
cTtha_R,,,,,,
cTtha_L,,,0.04961052048189,,,
Otha_R,,,,,,
Otha_L,,,0.041309255498928,,,
PPtha_R,,,,,,
PPtha_L,,,,,,
rTtha_R,,,0.035628445120417,,,
rTtha_L,,,0.042336998359683,,,
Stha_R,,,0.032136943545218,,,
Stha_L,,,0.038103752608513,,,
mPMtha_R,,,,,,
mPMtha_L,,,0.033089177551158,0.036364928127434,0.03444788297338,
mPFtha_R,,,,,,
mPFtha_L,,,0.04961052048189,,,
dlPu_R,,,,,,
dlPu_L,0.04276510218173,,,,0.041309255498928,
dCa_R,,,,,,
dCa_L,,0.048666690964411,,,,
vmPu_R,,,,,,
vmPu_L,,,,,,
NAC_R,,,,,,
NAC_L,,,,,,
GP_R,,,,,,
GP_L,,,,,,
vCa_R,,,,,,
vCa_L,,,,,,
cHipp_R,,,,,,
cHipp_L,,,0.014855420518547,,,0.039714234785231
rHipp_R,,,0.033089177551158,,,
rHipp_L,,,0.006447047112337,,,
lAmyg_R,,,0.029898253386518,,,
lAmyg_L,,,0.03444788297338,,,
mAmyg_R,,,0.014855420518547,,,
mAmyg_L,,,0.006447047112337,,,0.033089177551158
17Networks_RH_TempPar_10,,,,,,
17Networks_RH_TempPar_9,,,,0.049053735370639,,
17Networks_RH_TempPar_8,,,,,,
17Networks_RH_TempPar_7,,,,,,
17Networks_RH_TempPar_6,,,,,,
17Networks_RH_TempPar_5,,0.029898253386518,,0.04750728904574,0.049220481923373,
17Networks_RH_TempPar_4,,0.017539806641627,,0.014855420518547,0.015935533065991,
17Networks_RH_TempPar_3,,,,,,
17Networks_RH_TempPar_2,,,,,,
17Networks_RH_TempPar_1,,,,,,
17Networks_RH_DefaultC_PHC_2,,,,,,
17Networks_RH_DefaultC_PHC_1,,,,,,
17Networks_RH_DefaultC_Rsp_2,,,,,,
17Networks_RH_DefaultC_Rsp_1,,,,,,
